waveform,V_S,V_C
t0,5/26/2021  10:04:09.600475,5/26/2021  10:04:09.600476
delta t,2.000000E-6,2.000000E-6

time,V_S,V_C
5/26/2021  10:04:09.600475,4.740337E+0,1.490363E-2
5/26/2021  10:04:09.600477,-1.253383E-2,3.013976E-2
5/26/2021  10:04:09.600479,-1.124546E-2,4.474780E-2
5/26/2021  10:04:09.600481,-1.060128E-2,5.834118E-2
5/26/2021  10:04:09.600483,-1.027918E-2,7.071053E-2
5/26/2021  10:04:09.600485,-8.990814E-3,8.187195E-2
5/26/2021  10:04:09.600487,-7.380350E-3,9.156774E-2
5/26/2021  10:04:09.600489,-7.058258E-3,9.991064E-2
5/26/2021  10:04:09.600491,-6.091980E-3,1.066913E-1
5/26/2021  10:04:09.600493,-3.837331E-3,1.118613E-1
5/26/2021  10:04:09.600495,-3.193146E-3,1.155335E-1
5/26/2021  10:04:09.600497,-2.226868E-3,1.175951E-1
5/26/2021  10:04:09.600499,-6.164043E-4,1.180621E-1
5/26/2021  10:04:09.600501,3.498738E-4,1.170636E-1
5/26/2021  10:04:09.600503,1.316152E-3,1.145671E-1
5/26/2021  10:04:09.600505,2.282430E-3,1.106695E-1
5/26/2021  10:04:09.600507,4.214986E-3,1.054672E-1
5/26/2021  10:04:09.600509,4.537079E-3,9.912145E-2
5/26/2021  10:04:09.600511,5.181264E-3,9.161606E-2
5/26/2021  10:04:09.600513,5.825449E-3,8.322485E-2
5/26/2021  10:04:09.600515,7.113820E-3,7.398003E-2
5/26/2021  10:04:09.600517,7.758005E-3,6.404267E-2
5/26/2021  10:04:09.600519,7.758005E-3,5.350940E-2
5/26/2021  10:04:09.600521,7.758005E-3,4.268624E-2
5/26/2021  10:04:09.600523,7.758005E-3,3.157319E-2
5/26/2021  10:04:09.600525,8.402191E-3,2.037962E-2
5/26/2021  10:04:09.600527,9.046376E-3,9.234372E-3
5/26/2021  10:04:09.600529,7.435913E-3,-1.653168E-3
5/26/2021  10:04:09.600531,8.080098E-3,-1.228301E-2
5/26/2021  10:04:09.600533,7.758005E-3,-2.244577E-2
5/26/2021  10:04:09.600535,7.113820E-3,-3.196429E-2
5/26/2021  10:04:09.600537,6.147542E-3,-4.087079E-2
5/26/2021  10:04:09.600539,6.791727E-3,-4.898810E-2
5/26/2021  10:04:09.600541,5.503357E-3,-5.620349E-2
5/26/2021  10:04:09.600543,4.859171E-3,-6.250084E-2
5/26/2021  10:04:09.600545,4.214986E-3,-6.784796E-2
5/26/2021  10:04:09.600547,2.926615E-3,-7.216430E-2
5/26/2021  10:04:09.600549,2.282430E-3,-7.541767E-2
5/26/2021  10:04:09.600551,1.960337E-3,-7.764026E-2
5/26/2021  10:04:09.600553,9.940591E-4,-7.875156E-2
5/26/2021  10:04:09.600555,2.778109E-5,-7.891261E-2
5/26/2021  10:04:09.600557,-6.164043E-4,-7.799459E-2
5/26/2021  10:04:09.600559,-6.164043E-4,-7.614242E-2
5/26/2021  10:04:09.600561,-2.871053E-3,-7.340445E-2
5/26/2021  10:04:09.600563,-2.548960E-3,-6.974844E-2
5/26/2021  10:04:09.600565,-2.871053E-3,-6.535156E-2
5/26/2021  10:04:09.600567,-4.803609E-3,-6.018161E-2
5/26/2021  10:04:09.600569,-4.803609E-3,-5.438354E-2
5/26/2021  10:04:09.600571,-5.125702E-3,-4.816671E-2
5/26/2021  10:04:09.600573,-5.125702E-3,-4.145060E-2
5/26/2021  10:04:09.600575,-5.447794E-3,-3.434795E-2
5/26/2021  10:04:09.600577,-6.091980E-3,-2.705203E-2
5/26/2021  10:04:09.600579,-5.447794E-3,-1.969168E-2
5/26/2021  10:04:09.600581,-6.091980E-3,-1.218637E-2
5/26/2021  10:04:09.600583,-5.447794E-3,-4.745485E-3
5/26/2021  10:04:09.600585,-5.447794E-3,2.502135E-3
5/26/2021  10:04:09.600587,-6.736165E-3,9.508171E-3
5/26/2021  10:04:09.600589,-5.125702E-3,1.619209E-2
5/26/2021  10:04:09.600591,-4.803609E-3,2.252169E-2
5/26/2021  10:04:09.600593,-4.803609E-3,2.830370E-2
5/26/2021  10:04:09.600595,-4.481516E-3,3.366695E-2
5/26/2021  10:04:09.600597,-3.515238E-3,3.832155E-2
5/26/2021  10:04:09.600599,-3.193146E-3,4.242855E-2
5/26/2021  10:04:09.600601,-3.515238E-3,4.587521E-2
5/26/2021  10:04:09.600603,-1.904775E-3,4.854879E-2
5/26/2021  10:04:09.600605,-1.904775E-3,5.057813E-2
5/26/2021  10:04:09.600607,-9.384969E-4,5.191492E-2
5/26/2021  10:04:09.600609,-6.164043E-4,5.255915E-2
5/26/2021  10:04:09.600611,2.778109E-5,5.244641E-2
5/26/2021  10:04:09.600613,2.778109E-5,5.175386E-2
5/26/2021  10:04:09.600615,9.940591E-4,5.033654E-2
5/26/2021  10:04:09.600617,9.940591E-4,4.841994E-2
5/26/2021  10:04:09.600619,1.316152E-3,4.585910E-2
5/26/2021  10:04:09.600621,1.960337E-3,4.275067E-2
5/26/2021  10:04:09.600623,2.926615E-3,3.925569E-2
5/26/2021  10:04:09.600625,2.604523E-3,3.526143E-2
5/26/2021  10:04:09.600627,2.926615E-3,3.107391E-2
5/26/2021  10:04:09.600629,3.248708E-3,2.654816E-2
5/26/2021  10:04:09.600631,3.248708E-3,2.179693E-2
5/26/2021  10:04:09.600633,3.570801E-3,1.686854E-2
5/26/2021  10:04:09.600635,3.892893E-3,1.190794E-2
5/26/2021  10:04:09.600637,3.248708E-3,6.915132E-3
5/26/2021  10:04:09.600639,3.570801E-3,1.954537E-3
5/26/2021  10:04:09.600641,3.570801E-3,-2.844999E-3
5/26/2021  10:04:09.600643,3.248708E-3,-7.435156E-3
5/26/2021  10:04:09.600645,3.248708E-3,-1.184815E-2
5/26/2021  10:04:09.600647,3.248708E-3,-1.601955E-2
5/26/2021  10:04:09.600649,2.282430E-3,-1.983663E-2
5/26/2021  10:04:09.600651,2.926615E-3,-2.333159E-2
5/26/2021  10:04:09.600653,2.282430E-3,-2.626284E-2
5/26/2021  10:04:09.600655,1.960337E-3,-2.898472E-2
5/26/2021  10:04:09.600657,1.316152E-3,-3.114290E-2
5/26/2021  10:04:09.600659,3.498738E-4,-3.288232E-2
5/26/2021  10:04:09.600661,9.940591E-4,-3.407415E-2
5/26/2021  10:04:09.600663,3.498738E-4,-3.494386E-2
5/26/2021  10:04:09.600665,3.498738E-4,-3.521766E-2
5/26/2021  10:04:09.600667,-2.943116E-4,-3.512103E-2
5/26/2021  10:04:09.600669,-2.943116E-4,-3.450901E-2
5/26/2021  10:04:09.600671,-9.384969E-4,-3.352655E-2
5/26/2021  10:04:09.600673,-1.582682E-3,-3.204482E-2
5/26/2021  10:04:09.600675,-1.260590E-3,-3.032150E-2
5/26/2021  10:04:09.600677,-1.904775E-3,-2.814722E-2
5/26/2021  10:04:09.600679,-2.226868E-3,-2.571524E-2
5/26/2021  10:04:09.600681,-2.548960E-3,-2.304168E-2
5/26/2021  10:04:09.600683,-2.226868E-3,-2.020706E-2
5/26/2021  10:04:09.600685,-3.193146E-3,-1.713085E-2
5/26/2021  10:04:09.600687,-2.226868E-3,-1.394190E-2
5/26/2021  10:04:09.600689,-2.871053E-3,-1.068853E-2
5/26/2021  10:04:09.600691,-2.871053E-3,-7.354627E-3
5/26/2021  10:04:09.600693,-2.871053E-3,-3.988512E-3
5/26/2021  10:04:09.600695,-2.548960E-3,-7.512418E-4
5/26/2021  10:04:09.600697,-2.871053E-3,2.437711E-3
5/26/2021  10:04:09.600699,-2.548960E-3,5.578348E-3
5/26/2021  10:04:09.600701,-2.548960E-3,8.445186E-3
5/26/2021  10:04:09.600703,-2.548960E-3,1.116707E-2
5/26/2021  10:04:09.600705,-2.226868E-3,1.371179E-2
5/26/2021  10:04:09.600707,-1.904775E-3,1.591830E-2
5/26/2021  10:04:09.600709,-1.904775E-3,1.783489E-2
5/26/2021  10:04:09.600711,-2.226868E-3,1.952600E-2
5/26/2021  10:04:09.600713,-1.582682E-3,2.094332E-2
5/26/2021  10:04:09.600715,-9.384969E-4,2.207073E-2
5/26/2021  10:04:09.600717,-1.260590E-3,2.279549E-2
