waveform,Trig,V_C
t0,4/16/2021  11:31:19.528906,4/16/2021  11:31:19.528907
delta t,2.000000E-6,2.000000E-6

time,Trig,V_C
4/16/2021  11:31:19.528906,7.904476E+0,4.036276E-2
4/16/2021  11:31:19.528908,-9.160576E-2,2.254099E-1
4/16/2021  11:31:19.528910,-1.186744E-1,4.086857E-1
4/16/2021  11:31:19.528912,-1.131962E-1,5.711861E-1
4/16/2021  11:31:19.528914,-1.086848E-1,7.111395E-1
4/16/2021  11:31:19.528916,-9.450597E-2,8.269354E-1
4/16/2021  11:31:19.528918,-8.387186E-2,9.164800E-1
4/16/2021  11:31:19.528920,-6.969305E-2,9.789680E-1
4/16/2021  11:31:19.528922,-6.711509E-2,1.013433E+0
4/16/2021  11:31:19.528924,-4.971382E-2,1.019714E+0
4/16/2021  11:31:19.528926,-3.682400E-2,9.990995E-1
4/16/2021  11:31:19.528928,-2.909010E-2,9.515893E-1
4/16/2021  11:31:19.528930,-1.523354E-2,8.800824E-1
4/16/2021  11:31:19.528932,-1.491129E-2,7.871557E-1
4/16/2021  11:31:19.528934,1.845487E-3,6.752251E-1
4/16/2021  11:31:19.528936,7.001418E-3,5.489610E-1
4/16/2021  11:31:19.528938,1.247960E-2,4.109404E-1
4/16/2021  11:31:19.528940,1.731328E-2,2.650284E-1
4/16/2021  11:31:19.528942,1.537981E-2,1.147681E-1
4/16/2021  11:31:19.528944,1.731328E-2,-3.678043E-2
4/16/2021  11:31:19.528946,1.119061E-2,-1.859131E-1
4/16/2021  11:31:19.528948,1.473532E-2,-3.253828E-1
4/16/2021  11:31:19.528950,9.257138E-3,-4.519683E-1
4/16/2021  11:31:19.528952,1.523241E-3,-5.629320E-1
4/16/2021  11:31:19.528954,-4.102329E-4,-6.565022E-1
4/16/2021  11:31:19.528956,-1.297782E-2,-7.313906E-1
4/16/2021  11:31:19.528958,-1.394455E-2,-7.861477E-1
4/16/2021  11:31:19.528960,-3.327929E-2,-8.204514E-1
4/16/2021  11:31:19.528962,-3.972421E-2,-8.339797E-1
4/16/2021  11:31:19.528964,-4.488014E-2,-8.262493E-1
4/16/2021  11:31:19.528966,-5.648098E-2,-7.988707E-1
