waveform,Trig,V_R
t0,4/16/2021  12:49:10.593847,4/16/2021  12:49:10.593848
delta t,1.500000E-6,1.500000E-6

time,Trig,V_R
4/16/2021  12:49:10.593847,3.821132E+0,1.758781E-2
4/16/2021  12:49:10.593849,4.843964E+0,4.264701E-2
4/16/2021  12:49:10.593850,4.869745E+0,6.323034E-2
4/16/2021  12:49:10.593852,4.848476E+0,7.915740E-2
4/16/2021  12:49:10.593853,4.822051E+0,8.899191E-2
4/16/2021  12:49:10.593855,4.824629E+0,9.217993E-2
4/16/2021  12:49:10.593856,4.823984E+0,8.801297E-2
4/16/2021  12:49:10.593858,4.830752E+0,7.754730E-2
4/16/2021  12:49:10.593859,4.862333E+0,6.196159E-2
4/16/2021  12:49:10.593861,4.887791E+0,4.275650E-2
4/16/2021  12:49:10.593862,4.920339E+0,2.107844E-2
4/16/2021  12:49:10.593864,4.961265E+0,-1.217788E-3
4/16/2021  12:49:10.593865,4.996713E+0,-2.195543E-2
4/16/2021  12:49:10.593867,5.022494E+0,-3.964039E-2
4/16/2021  12:49:10.593868,5.055686E+0,-5.309410E-2
4/16/2021  12:49:10.593870,5.070510E+0,-6.155662E-2
4/16/2021  12:49:10.593871,5.079855E+0,-6.448695E-2
4/16/2021  12:49:10.593873,5.083722E+0,-6.172407E-2
4/16/2021  12:49:10.593874,5.077277E+0,-5.362864E-2
4/16/2021  12:49:10.593876,5.055042E+0,-4.110877E-2
4/16/2021  12:49:10.593877,5.039251E+0,-2.496303E-2
4/16/2021  12:49:10.593879,5.006703E+0,-6.518126E-3
4/16/2021  12:49:10.593880,4.977056E+0,1.277048E-2
4/16/2021  12:49:10.593882,4.941930E+0,3.145376E-2
4/16/2021  12:49:10.593883,4.920661E+0,4.745149E-2
4/16/2021  12:49:10.593885,4.897459E+0,5.959798E-2
4/16/2021  12:49:10.593886,4.878768E+0,6.734573E-2
4/16/2021  12:49:10.593888,4.877156E+0,7.001849E-2
4/16/2021  12:49:10.593889,4.872967E+0,6.742301E-2
4/16/2021  12:49:10.593891,4.882313E+0,5.995863E-2
4/16/2021  12:49:10.593892,4.896492E+0,4.854635E-2
4/16/2021  12:49:10.593894,4.924528E+0,3.427461E-2
4/16/2021  12:49:10.593895,4.947086E+0,1.761357E-2
4/16/2021  12:49:10.593897,4.969966E+0,6.820902E-4
4/16/2021  12:49:10.593898,4.997680E+0,-1.512232E-2
4/16/2021  12:49:10.593900,5.016693E+0,-2.869838E-2
4/16/2021  12:49:10.593901,5.041507E+0,-3.900924E-2
4/16/2021  12:49:10.593903,5.056653E+0,-4.541730E-2
4/16/2021  12:49:10.593904,5.060520E+0,-4.755547E-2
4/16/2021  12:49:10.593906,5.059875E+0,-4.540442E-2
4/16/2021  12:49:10.593907,5.061164E+0,-3.911228E-2
4/16/2021  12:49:10.593909,5.042151E+0,-2.938749E-2
4/16/2021  12:49:10.593910,5.020560E+0,-1.698999E-2
4/16/2021  12:49:10.593912,5.005414E+0,-2.802094E-3
4/16/2021  12:49:10.593913,4.977056E+0,1.190748E-2
4/16/2021  12:49:10.593915,4.951597E+0,2.602459E-2
4/16/2021  12:49:10.593916,4.940641E+0,3.834488E-2
4/16/2021  12:49:10.593918,4.915183E+0,4.734201E-2
4/16/2021  12:49:10.593919,4.903259E+0,5.295154E-2
4/16/2021  12:49:10.593921,4.900037E+0,5.470331E-2
4/16/2021  12:49:10.593922,4.907771E+0,5.256512E-2
4/16/2021  12:49:10.593924,4.904226E+0,4.670442E-2
4/16/2021  12:49:10.593925,4.921950E+0,3.793914E-2
4/16/2021  12:49:10.593927,4.938385E+0,2.650117E-2
4/16/2021  12:49:10.593928,4.952564E+0,1.376872E-2
4/16/2021  12:49:10.593930,4.978345E+0,8.946190E-4
4/16/2021  12:49:10.593931,4.997358E+0,-1.118732E-2
4/16/2021  12:49:10.593933,5.011859E+0,-2.142089E-2
4/16/2021  12:49:10.593934,5.029583E+0,-2.902040E-2
4/16/2021  12:49:10.593936,5.044729E+0,-3.357366E-2
4/16/2021  12:49:10.593937,5.041185E+0,-3.494543E-2
4/16/2021  12:49:10.593939,5.041507E+0,-3.283947E-2
