waveform,V_S,V_C,V_R
t0,5/7/2021  10:07:55.396491,5/7/2021  10:07:55.396492,5/7/2021  10:07:55.396493
delta t,2.500000E-6,2.500000E-6,2.500000E-6

time,V_S,V_C,V_R
5/7/2021  10:07:55.396491,4.385719E+0,9.579384E-3,2.923637E-2
5/7/2021  10:07:55.396494,-7.130428E-2,1.197874E-1,3.084760E-2
5/7/2021  10:07:55.396496,-6.550386E-2,2.316067E-1,2.665841E-2
5/7/2021  10:07:55.396499,-6.131467E-2,3.257025E-1,2.214697E-2
5/7/2021  10:07:55.396501,-5.551425E-2,3.998191E-1,1.666879E-2
5/7/2021  10:07:55.396504,-4.842484E-2,4.533120E-1,1.022388E-2
5/7/2021  10:07:55.396506,-4.133544E-2,4.839253E-1,3.778961E-3
5/7/2021  10:07:55.396509,-3.360154E-2,4.919815E-1,-2.021461E-3
5/7/2021  10:07:55.396511,-2.844561E-2,4.774804E-1,-8.466375E-3
5/7/2021  10:07:55.396514,-2.264519E-2,4.430001E-1,-1.426680E-2
5/7/2021  10:07:55.396516,-1.748925E-2,3.898295E-1,-1.813375E-2
5/7/2021  10:07:55.396519,-1.168883E-2,3.205466E-1,-2.167845E-2
5/7/2021  10:07:55.396521,-7.821884E-3,2.403074E-1,-2.457866E-2
5/7/2021  10:07:55.396524,-5.566164E-3,1.507230E-1,-2.618989E-2
5/7/2021  10:07:55.396526,-3.954936E-3,5.630501E-2,-2.618989E-2
5/7/2021  10:07:55.396529,-3.954936E-3,-3.843522E-2,-2.554540E-2
5/7/2021  10:07:55.396531,-4.921673E-3,-1.299530E-1,-2.393417E-2
5/7/2021  10:07:55.396534,-7.821884E-3,-2.127701E-1,-2.071171E-2
5/7/2021  10:07:55.396536,-1.297782E-2,-2.843086E-1,-1.748925E-2
5/7/2021  10:07:55.396539,-1.813375E-2,-3.403793E-1,-1.362231E-2
5/7/2021  10:07:55.396541,-2.167845E-2,-3.825935E-1,-1.007760E-2
5/7/2021  10:07:55.396544,-2.715663E-2,-4.074064E-1,-4.277181E-3
5/7/2021  10:07:55.396546,-3.070133E-2,-4.161070E-1,2.342585E-4
5/7/2021  10:07:55.396549,-3.779073E-2,-4.086954E-1,4.423453E-3
5/7/2021  10:07:55.396551,-4.004645E-2,-3.851715E-1,7.968156E-3
5/7/2021  10:07:55.396554,-4.584688E-2,-3.481132E-1,1.215735E-2
5/7/2021  10:07:55.396556,-5.068056E-2,-2.997764E-1,1.473532E-2
5/7/2021  10:07:55.396559,-5.035831E-2,-2.414500E-1,1.699104E-2
5/7/2021  10:07:55.396561,-5.422526E-2,-1.773231E-1,1.828002E-2
5/7/2021  10:07:55.396564,-5.325853E-2,-1.093293E-1,1.828002E-2
5/7/2021  10:07:55.396566,-5.583649E-2,-3.972421E-2,1.731328E-2
5/7/2021  10:07:55.396569,-5.293628E-2,2.794739E-2,1.602430E-2
