waveform,V_S,V_C,V_R
t0,5/7/2021  10:11:51.731760,5/7/2021  10:11:51.731761,5/7/2021  10:11:51.731763
delta t,5.000000E-6,5.000000E-6,5.000000E-6

time,V_S,V_C,V_R
5/7/2021  10:11:51.731760,4.304188E+0,2.826964E-2,3.278108E-2
5/7/2021  10:11:51.731765,-6.614835E-2,2.580309E-1,2.472493E-2
5/7/2021  10:11:51.731770,-5.938119E-2,4.226986E-1,1.312409E-2
5/7/2021  10:11:51.731775,-4.230217E-2,5.000376E-1,2.342585E-4
5/7/2021  10:11:51.731780,-2.715663E-2,4.852143E-1,-1.233332E-2
5/7/2021  10:11:51.731785,-1.716701E-2,3.878960E-1,-2.167845E-2
5/7/2021  10:11:51.731790,-9.755358E-3,2.293510E-1,-2.715663E-2
5/7/2021  10:11:51.731795,-3.632690E-3,3.890374E-2,-2.715663E-2
5/7/2021  10:11:51.731800,-3.954936E-3,-1.528324E-1,-2.328968E-2
5/7/2021  10:11:51.731805,-1.168883E-2,-3.071881E-1,-1.555578E-2
5/7/2021  10:11:51.731810,-2.006722E-2,-4.028950E-1,-6.532901E-3
5/7/2021  10:11:51.731815,-2.973459E-2,-4.306081E-1,2.812224E-3
5/7/2021  10:11:51.731820,-4.133544E-2,-3.925831E-1,1.054612E-2
5/7/2021  10:11:51.731825,-4.939158E-2,-2.988097E-1,1.666879E-2
5/7/2021  10:11:51.731830,-5.583649E-2,-1.679780E-1,1.892451E-2
5/7/2021  10:11:51.731835,-5.551425E-2,-2.264519E-2,1.795777E-2
5/7/2021  10:11:51.731840,-5.551425E-2,1.091533E-1,1.409082E-2
5/7/2021  10:11:51.731845,-4.745810E-2,2.064716E-1,7.645910E-3
5/7/2021  10:11:51.731850,-4.004645E-2,2.551307E-1,8.787499E-4
5/7/2021  10:11:51.731855,-3.295705E-2,2.531972E-1,-5.888410E-3
5/7/2021  10:11:51.731860,-2.457866E-2,2.038936E-1,-1.168883E-2
5/7/2021  10:11:51.731865,-1.845599E-2,1.188207E-1,-1.458904E-2
5/7/2021  10:11:51.731870,-1.620027E-2,1.473532E-2,-1.555578E-2
5/7/2021  10:11:51.731875,-1.748925E-2,-9.096127E-2,-1.330006E-2
5/7/2021  10:11:51.731880,-2.103396E-2,-1.776453E-1,-9.433113E-3
5/7/2021  10:11:51.731885,-2.457866E-2,-2.333938E-1,-4.921673E-3
5/7/2021  10:11:51.731890,-3.005684E-2,-2.514396E-1,2.342585E-4
5/7/2021  10:11:51.731895,-3.585726E-2,-2.317826E-1,5.390190E-3
5/7/2021  10:11:51.731900,-4.359116E-2,-1.815123E-1,8.612647E-3
5/7/2021  10:11:51.731905,-4.391340E-2,-1.096515E-1,9.901630E-3
5/7/2021  10:11:51.731910,-4.520238E-2,-3.005684E-2,9.257138E-3
5/7/2021  10:11:51.731915,-4.552463E-2,4.244845E-2,6.679173E-3
5/7/2021  10:11:51.731920,-4.230217E-2,9.723023E-2,3.778961E-3
5/7/2021  10:11:51.731925,-3.940196E-2,1.246211E-1,-7.324786E-4
5/7/2021  10:11:51.731930,-3.392379E-2,1.236544E-1,-3.310444E-3
5/7/2021  10:11:51.731935,-2.909010E-2,9.658573E-2,-6.532901E-3
5/7/2021  10:11:51.731940,-2.876785E-2,4.953785E-2,-8.144130E-3
5/7/2021  10:11:51.731945,-2.586764E-2,-8.466375E-3,-8.788621E-3
5/7/2021  10:11:51.731950,-2.586764E-2,-6.647060E-2,-7.499638E-3
5/7/2021  10:11:51.731955,-2.683438E-2,-1.138407E-1,-4.921673E-3
5/7/2021  10:11:51.731960,-2.812336E-2,-1.447763E-1,-2.021461E-3
5/7/2021  10:11:51.731965,-3.231256E-2,-1.537992E-1,2.342585E-4
5/7/2021  10:11:51.731970,-3.746849E-2,-1.425206E-1,2.812224E-3
5/7/2021  10:11:51.731975,-3.907972E-2,-1.135185E-1,5.067944E-3
5/7/2021  10:11:51.731980,-4.004645E-2,-7.388225E-2,5.712436E-3
5/7/2021  10:11:51.731985,-4.036870E-2,-2.909010E-2,5.067944E-3
5/7/2021  10:11:51.731990,-3.811298E-2,1.119061E-2,3.778961E-3
5/7/2021  10:11:51.731995,-3.714624E-2,3.987048E-2,1.523241E-3
5/7/2021  10:11:51.732000,-3.521277E-2,5.501603E-2,-4.102329E-4
5/7/2021  10:11:51.732005,-3.199031E-2,5.340480E-2,-2.343707E-3
5/7/2021  10:11:51.732010,-3.295705E-2,3.729252E-2,-3.632690E-3
5/7/2021  10:11:51.732015,-3.102357E-2,1.086837E-2,-5.243918E-3
5/7/2021  10:11:51.732020,-2.812336E-2,-2.200069E-2,-4.921673E-3
5/7/2021  10:11:51.732025,-2.618989E-2,-5.358077E-2,-4.599427E-3
5/7/2021  10:11:51.732030,-2.973459E-2,-7.936042E-2,-2.988199E-3
5/7/2021  10:11:51.732035,-3.102357E-2,-9.611720E-2,-1.376970E-3
5/7/2021  10:11:51.732040,-3.456828E-2,-1.003064E-1,-8.798718E-5
5/7/2021  10:11:51.732045,-3.585726E-2,-9.353923E-2,1.200996E-3
5/7/2021  10:11:51.732050,-3.489052E-2,-7.742695E-2,2.167733E-3
5/7/2021  10:11:51.732055,-3.585726E-2,-5.486975E-2,2.812224E-3
5/7/2021  10:11:51.732060,-3.811298E-2,-2.973459E-2,2.812224E-3
5/7/2021  10:11:51.732065,-3.907972E-2,-8.144130E-3,1.845487E-3
5/7/2021  10:11:51.732070,-3.779073E-2,7.323664E-3,2.342585E-4
5/7/2021  10:11:51.732075,-3.553501E-2,1.505756E-2,-1.054724E-3
5/7/2021  10:11:51.732080,-3.360154E-2,1.376858E-2,-1.699216E-3
5/7/2021  10:11:51.732085,-3.199031E-2,4.423453E-3,-2.343707E-3
5/7/2021  10:11:51.732090,-3.166807E-2,-1.136659E-2,-3.310444E-3
5/7/2021  10:11:51.732095,-3.199031E-2,-2.973459E-2,-2.988199E-3
5/7/2021  10:11:51.732100,-3.295705E-2,-4.649137E-2,-2.343707E-3
5/7/2021  10:11:51.732105,-3.424603E-2,-6.034793E-2,-1.699216E-3
5/7/2021  10:11:51.732110,-3.424603E-2,-6.872632E-2,-1.376970E-3
5/7/2021  10:11:51.732115,-3.456828E-2,-7.033755E-2,-4.102329E-4
5/7/2021  10:11:51.732120,-3.424603E-2,-6.550386E-2,5.565042E-4
5/7/2021  10:11:51.732125,-3.617950E-2,-5.648098E-2,1.200996E-3
5/7/2021  10:11:51.732130,-3.585726E-2,-4.359116E-2,1.200996E-3
5/7/2021  10:11:51.732135,-3.521277E-2,-3.005684E-2,8.787499E-4
