waveform,V_S,V_C
t0,5/7/2021  12:32:06.847488,5/7/2021  12:32:06.847488
delta t,1.600000E-6,1.600000E-6

time,V_S,V_C
5/7/2021  12:32:06.847488,4.576493E+0,9.690361E-3
5/7/2021  12:32:06.847489,-2.296743E-2,3.939603E-2
5/7/2021  12:32:06.847491,-2.135620E-2,6.359532E-2
5/7/2021  12:32:06.847492,-2.038947E-2,8.669982E-2
5/7/2021  12:32:06.847494,-1.910048E-2,1.085646E-1
5/7/2021  12:32:06.847496,-1.781150E-2,1.290609E-1
5/7/2021  12:32:06.847497,-1.652252E-2,1.480598E-1
5/7/2021  12:32:06.847499,-1.523354E-2,1.654165E-1
5/7/2021  12:32:06.847500,-1.426680E-2,1.810827E-1
5/7/2021  12:32:06.847502,-1.233332E-2,1.948490E-1
5/7/2021  12:32:06.847504,-1.039985E-2,2.068603E-1
5/7/2021  12:32:06.847505,-9.110867E-3,2.169073E-1
5/7/2021  12:32:06.847507,-7.499638E-3,2.249739E-1
5/7/2021  12:32:06.847508,-5.888410E-3,2.310601E-1
5/7/2021  12:32:06.847510,-4.277181E-3,2.350854E-1
5/7/2021  12:32:06.847512,-2.665953E-3,2.372107E-1
5/7/2021  12:32:06.847513,-1.376970E-3,2.373556E-1
5/7/2021  12:32:06.847515,8.787499E-4,2.355845E-1
5/7/2021  12:32:06.847516,1.845487E-3,2.319457E-1
5/7/2021  12:32:06.847518,3.778961E-3,2.264874E-1
5/7/2021  12:32:06.847520,5.390190E-3,2.193386E-1
5/7/2021  12:32:06.847521,6.356927E-3,2.105474E-1
5/7/2021  12:32:06.847523,7.968156E-3,2.001945E-1
5/7/2021  12:32:06.847524,9.257138E-3,1.885374E-1
5/7/2021  12:32:06.847526,1.022388E-2,1.754635E-1
5/7/2021  12:32:06.847528,1.151286E-2,1.613108E-1
5/7/2021  12:32:06.847529,1.183510E-2,1.461599E-1
5/7/2021  12:32:06.847531,1.280184E-2,1.300430E-1
5/7/2021  12:32:06.847532,1.312409E-2,1.132982E-1
5/7/2021  12:32:06.847534,1.409082E-2,9.592553E-2
5/7/2021  12:32:06.847536,1.473532E-2,7.810204E-2
5/7/2021  12:32:06.847537,1.505756E-2,6.003707E-2
5/7/2021  12:32:06.847539,1.441307E-2,4.177893E-2
5/7/2021  12:32:06.847540,1.473532E-2,2.363350E-2
5/7/2021  12:32:06.847542,1.441307E-2,5.649106E-3
5/7/2021  12:32:06.847544,1.441307E-2,-1.204547E-2
5/7/2021  12:32:06.847545,1.376858E-2,-2.927311E-2
5/7/2021  12:32:06.847547,1.344633E-2,-4.595333E-2
5/7/2021  12:32:06.847548,1.312409E-2,-6.181242E-2
5/7/2021  12:32:06.847550,1.247960E-2,-7.689867E-2
5/7/2021  12:32:06.847552,1.183510E-2,-9.101890E-2
5/7/2021  12:32:06.847553,1.054612E-2,-1.041087E-1
5/7/2021  12:32:06.847555,9.901630E-3,-1.160714E-1
5/7/2021  12:32:06.847556,8.934893E-3,-1.268750E-1
5/7/2021  12:32:06.847558,7.968156E-3,-1.364065E-1
5/7/2021  12:32:06.847560,7.001418E-3,-1.445695E-1
5/7/2021  12:32:06.847561,5.712436E-3,-1.515089E-1
5/7/2021  12:32:06.847563,4.745698E-3,-1.569831E-1
5/7/2021  12:32:06.847564,3.456716E-3,-1.611049E-1
5/7/2021  12:32:06.847566,2.489978E-3,-1.638259E-1
5/7/2021  12:32:06.847568,5.565042E-4,-1.651623E-1
5/7/2021  12:32:06.847569,-4.102329E-4,-1.651623E-1
5/7/2021  12:32:06.847571,-1.376970E-3,-1.637937E-1
5/7/2021  12:32:06.847572,-2.343707E-3,-1.611532E-1
5/7/2021  12:32:06.847574,-3.310444E-3,-1.572729E-1
5/7/2021  12:32:06.847576,-4.277181E-3,-1.521851E-1
5/7/2021  12:32:06.847577,-5.888410E-3,-1.460347E-1
5/7/2021  12:32:06.847579,-6.532901E-3,-1.387089E-1
5/7/2021  12:32:06.847580,-7.177393E-3,-1.304332E-1
5/7/2021  12:32:06.847582,-8.466375E-3,-1.213041E-1
5/7/2021  12:32:06.847584,-8.788621E-3,-1.113379E-1
5/7/2021  12:32:06.847585,-9.755358E-3,-1.007276E-1
5/7/2021  12:32:06.847587,-9.433113E-3,-8.950544E-2
5/7/2021  12:32:06.847588,-1.072210E-2,-7.773591E-2
