waveform,V_S,V_C,V_R
t0,5/7/2021  11:55:33.186091,5/7/2021  11:55:33.186091,5/7/2021  11:55:33.186092
delta t,2.500000E-6,2.500000E-6,2.500000E-6

time,V_S,V_C,V_R
5/7/2021  11:55:33.186091,4.361872E+0,5.439798E-3,5.051148E-3
5/7/2021  11:55:33.186093,-6.855147E-3,1.537388E-2,4.803405E-3
5/7/2021  11:55:33.186096,-5.888410E-3,2.629011E-2,4.449487E-3
5/7/2021  11:55:33.186098,-6.855147E-3,3.632081E-2,4.079482E-3
5/7/2021  11:55:33.186101,-4.277181E-3,4.530497E-2,3.625824E-3
5/7/2021  11:55:33.186103,-5.566164E-3,5.303328E-2,3.088512E-3
5/7/2021  11:55:33.186106,-2.665953E-3,5.957015E-2,2.554418E-3
5/7/2021  11:55:33.186108,-4.599427E-3,6.470627E-2,1.943106E-3
5/7/2021  11:55:33.186111,-1.699216E-3,6.834502E-2,1.322141E-3
5/7/2021  11:55:33.186113,-2.665953E-3,7.055082E-2,7.172638E-4
5/7/2021  11:55:33.186116,-1.376970E-3,7.127535E-2,7.699480E-5
5/7/2021  11:55:33.186118,-4.102329E-4,7.059912E-2,-4.924907E-4
5/7/2021  11:55:33.186121,2.167733E-3,6.858653E-2,-1.061976E-3
5/7/2021  11:55:33.186123,5.565042E-4,6.517319E-2,-1.563895E-3
5/7/2021  11:55:33.186126,1.845487E-3,6.066500E-2,-2.043293E-3
5/7/2021  11:55:33.186128,2.812224E-3,5.504587E-2,-2.493733E-3
5/7/2021  11:55:33.186131,1.845487E-3,4.855730E-2,-2.860520E-3
5/7/2021  11:55:33.186133,3.456716E-3,4.126370E-2,-3.114697E-3
5/7/2021  11:55:33.186136,3.778961E-3,3.342269E-2,-3.346352E-3
5/7/2021  11:55:33.186138,4.101207E-3,2.508256E-2,-3.478267E-3
5/7/2021  11:55:33.186141,3.134470E-3,1.659753E-2,-3.510441E-3
5/7/2021  11:55:33.186143,4.745698E-3,8.015897E-3,-3.594094E-3
5/7/2021  11:55:33.186146,3.134470E-3,-4.691282E-4,-3.478267E-3
5/7/2021  11:55:33.186148,4.745698E-3,-8.680440E-3,-3.378526E-3
5/7/2021  11:55:33.186151,2.812224E-3,-1.648923E-2,-3.111479E-3
5/7/2021  11:55:33.186153,4.423453E-3,-2.371840E-2,-2.892694E-3
5/7/2021  11:55:33.186156,1.523241E-3,-3.015864E-2,-2.548429E-3
5/7/2021  11:55:33.186158,2.812224E-3,-3.593876E-2,-2.191294E-3
5/7/2021  11:55:33.186161,1.523241E-3,-4.076894E-2,-1.821290E-3
5/7/2021  11:55:33.186163,2.489978E-3,-4.464918E-2,-1.409459E-3
5/7/2021  11:55:33.186166,-8.798718E-5,-4.751509E-2,-9.558008E-4
