waveform,V_S,V_C,V_R
t0,5/7/2021  12:00:47.056435,5/7/2021  12:00:47.056436,5/7/2021  12:00:47.056437
delta t,2.500000E-6,2.500000E-6,2.500000E-6

time,V_S,V_C,V_R
5/7/2021  12:00:47.056435,4.360260E+0,1.972105E-2,-6.229964E-2
5/7/2021  12:00:47.056438,-3.295705E-2,6.950427E-2,2.388609E-2
5/7/2021  12:00:47.056440,-2.780112E-2,1.245205E-1,2.235779E-2
5/7/2021  12:00:47.056443,-2.844561E-2,1.750771E-1,2.048201E-2
5/7/2021  12:00:47.056445,-2.361192E-2,2.204656E-1,1.821371E-2
5/7/2021  12:00:47.056448,-2.232294E-2,2.599777E-1,1.571375E-2
5/7/2021  12:00:47.056450,-1.877824E-2,2.930335E-1,1.295640E-2
5/7/2021  12:00:47.056453,-1.491129E-2,3.193591E-1,1.002853E-2
5/7/2021  12:00:47.056455,-9.110867E-3,3.386003E-1,6.975175E-3
5/7/2021  12:00:47.056458,-7.177393E-3,3.506281E-1,3.896088E-3
5/7/2021  12:00:47.056460,-2.988199E-3,3.554102E-1,8.395263E-4
5/7/2021  12:00:47.056463,1.523241E-3,3.531560E-1,-2.162337E-3
5/7/2021  12:00:47.056465,3.778961E-3,3.441231E-1,-4.977589E-3
5/7/2021  12:00:47.056468,7.968156E-3,3.286174E-1,-7.628750E-3
5/7/2021  12:00:47.056470,1.183510E-2,3.071543E-1,-1.004826E-2
5/7/2021  12:00:47.056473,1.441307E-2,2.804101E-1,-1.217176E-2
5/7/2021  12:00:47.056475,1.602430E-2,2.490289E-1,-1.403465E-2
5/7/2021  12:00:47.056478,1.956900E-2,2.136549E-1,-1.551467E-2
5/7/2021  12:00:47.056480,2.021349E-2,1.752381E-1,-1.671155E-2
5/7/2021  12:00:47.056483,2.246921E-2,1.345512E-1,-1.749982E-2
5/7/2021  12:00:47.056485,2.053574E-2,9.241557E-2,-1.790522E-2
5/7/2021  12:00:47.056488,2.343595E-2,4.974875E-2,-1.796957E-2
5/7/2021  12:00:47.056490,2.118023E-2,7.323570E-3,-1.765747E-2
