1002.48695,2.51003,23.47792
1099.53764,2.52465,23.94976
1200.00467,2.52637,23.68799
1300.26913,2.52912,23.46583
1400.36970,2.53245,23.21126
1599.73237,2.54350,22.84083
1700.02284,2.54823,22.64937
1800.19404,2.55299,22.47446
1900.23695,2.55923,22.18538
1999.96592,2.56506,22.24478
2100.04129,2.57148,23.46707
2199.97481,2.57819,23.45010
2299.96079,2.58532,23.39893
2400.01559,2.59293,23.40856
2500.06157,2.60082,23.38408
2600.11538,2.60918,23.42988
2700.16010,2.61787,23.43187
2799.96111,2.62709,23.44732
2899.99861,2.63607,23.50804
3000.01862,2.64606,23.50614
3100.02894,2.65630,23.51199
3200.10837,2.66706,23.53610
3300.08813,2.67814,23.43385
3400.08699,2.68973,23.44224
3499.94548,2.70171,23.52410
3599.97435,2.71410,23.54893
3699.98542,2.72728,23.49815
3800.02346,2.74054,23.47103
3900.03160,2.75459,23.42588
4000.05360,2.76913,23.34316
4100.17471,2.78443,23.37556
4200.10478,2.79995,23.43281
4299.93745,2.81600,23.38740
4399.95876,2.83281,23.32179
4499.95828,2.85033,23.40059
4600.02143,2.86822,23.39162
4700.06900,2.88685,23.27049
4800.09677,2.90610,23.23567
4900.09423,2.92624,23.27302
5000.12034,2.94687,23.30452
5099.94978,2.96844,23.19624
5199.99848,2.99063,23.15553
5300.00023,3.01365,23.23943
5400.02506,3.03765,23.02057
5500.06914,3.06231,23.05720
5600.10160,3.08801,23.04351
5700.12354,3.11424,22.93373
5800.17228,3.14183,22.93365
5900.01899,3.17041,22.96367
5999.97066,3.20007,22.78382
6100.06608,3.23091,22.75731
6200.06449,3.26268,22.74094
6300.09028,3.29579,22.63455
6400.10321,3.33019,22.48648
6500.13957,3.36572,22.42495
6599.98241,3.40273,22.37889
6699.99502,3.44123,22.27559
6800.01421,3.48120,22.27447
6900.05869,3.52275,22.13530
7000.06982,3.56624,21.89802
7100.09561,3.61119,21.96131
7200.10691,3.65793,21.71688
7300.20204,3.70677,21.66166
7399.99796,3.75763,21.45236
7500.02285,3.81074,21.23162
7600.04878,3.86631,21.17949
7700.05222,3.92480,20.98966
7800.09540,3.98519,20.85508
7900.09122,4.04911,20.61815
8000.14200,4.11530,20.51385
8100.15424,4.18459,20.23768
8200.08120,4.25761,19.97619
8300.03850,4.33418,19.76703
8400.08013,4.41469,19.50445
8500.10811,4.49960,19.16958
8600.11703,4.58870,18.93868
8700.15211,4.68286,18.52203
8800.17005,4.78230,18.24707
8900.18769,4.88688,17.84225
9000.11042,4.99714,17.44806
9100.11802,5.11410,17.01835
9200.19460,5.23823,16.57096
9300.16570,5.36987,16.02880
9400.18292,5.50933,15.46251
9500.17993,5.65764,14.87789
9600.20347,5.81560,14.24143
9700.00639,5.98336,13.61969
9800.01153,6.16229,12.83778
9899.99419,6.35206,11.91269
10000.32839,6.55433,10.98438
10100.30269,6.77076,9.81635
10200.22366,6.99884,8.72604
10300.12485,7.24153,7.31134
10400.04847,7.49617,5.97113
10499.73632,7.76160,4.30366
10599.73112,8.03919,2.45500
10699.72664,8.32256,0.31939
10799.86644,8.60842,-1.92134
10900.05472,8.89192,-4.69114
11000.30930,9.16515,-7.76933
11099.62209,9.41708,-10.84249
11199.87643,9.64290,-14.61474
11300.02145,9.83257,-18.89048
11400.40357,9.98048,-23.17064
11500.79799,10.08373,-27.97896
11601.15845,10.13994,-32.99985
11701.50740,10.15080,-38.42189
11801.78941,10.11985,-43.89628
12001.03441,9.94752,-54.11022
12101.11332,9.81270,-59.14437
12201.30814,9.65411,-64.26142
12301.40120,9.47691,-68.72418
12401.47638,9.28453,-73.11941
12501.44370,9.07931,-77.13093
12601.33744,8.86882,-81.02095
12701.20830,8.65180,-84.32152
12800.80176,8.43141,-87.38213
12900.50619,8.20952,-90.72531
13000.71121,7.98774,266.66241
13100.70100,7.76798,-96.02713
13200.62888,7.55092,-98.53694
13300.52086,7.33812,-100.55346
13400.41295,7.12819,-102.60586
13500.23797,6.92431,-104.50382
13599.91644,6.72424,-106.09872
13699.73296,6.53037,-107.80179
13799.55729,6.34130,-109.42671
13899.44996,6.15800,-110.45804
13999.34374,5.98031,-112.00469
14100.21992,5.80956,246.63538
14300.09943,5.48285,-115.49890
14399.87779,5.32903,-116.55013
14499.83531,5.18102,-117.53050
14599.81733,5.03802,-118.34338
14699.80512,4.89973,-119.28366
14799.86177,4.76639,-120.12348
14899.90708,4.63887,-120.85808
15000.20427,4.51502,238.41560
15100.17239,4.39645,237.86715
15199.95173,4.28224,-122.61747
15299.99956,4.17249,-123.39482
15399.98571,4.06624,-123.62419
15500.00550,3.96470,-124.12077
15600.03054,3.86603,-124.79591
15700.08037,3.77061,-125.19990
15800.11462,3.67940,-125.61633
15900.02417,3.59156,-126.04483
16000.03727,3.50696,233.46316
16100.08247,3.42480,233.02700
16200.07597,3.34611,232.79595
16300.09189,3.26963,-127.44052
16400.12709,3.19605,-127.75193
16500.15275,3.12505,-128.10708
16600.16261,3.05675,-128.52707
16700.04564,2.99054,-128.63855
16800.05614,2.92685,-128.99384
16900.12039,2.86481,-129.07599
17000.12106,2.80516,230.47845
17100.15305,2.74720,230.33989
17200.19595,2.69129,230.41468
17300.17623,2.63717,-129.94107
17400.23089,2.58467,-130.23742
17500.05804,2.53395,-130.41865
17600.07507,2.48476,-130.51661
17700.12403,2.43689,-130.58740
17800.15016,2.39089,-130.94573
17900.21500,2.34594,-130.77848
18000.22431,2.30292,228.89715
18100.23896,2.26035,228.62436
18200.27380,2.21970,228.70133
18300.07140,2.18002,-131.48453
