waveform,Trig,V_C
t0,4/16/2021  11:27:25.437502,4/16/2021  11:27:25.437503
delta t,2.000000E-6,2.000000E-6

time,Trig,V_C
4/16/2021  11:27:25.437502,7.945081E+0,4.438903E-2
4/16/2021  11:27:25.437504,9.683095E+0,3.555389E-1
4/16/2021  11:27:25.437506,1.419407E+0,8.082534E-1
4/16/2021  11:27:25.437508,-2.395165E-1,1.247603E+0
4/16/2021  11:27:25.437510,-2.188928E-1,1.634934E+0
4/16/2021  11:27:25.437512,-1.902129E-1,1.965254E+0
4/16/2021  11:27:25.437514,-1.660445E-1,2.234698E+0
4/16/2021  11:27:25.437516,-1.338199E-1,2.439882E+0
4/16/2021  11:27:25.437518,-1.083625E-1,2.578873E+0
4/16/2021  11:27:25.437520,-7.130428E-2,2.650382E+0
4/16/2021  11:27:25.437522,-5.068056E-2,2.653120E+0
4/16/2021  11:27:25.437524,-2.135620E-2,2.587892E+0
4/16/2021  11:27:25.437526,7.645910E-3,2.457437E+0
4/16/2021  11:27:25.437528,2.988086E-2,2.267714E+0
4/16/2021  11:27:25.437530,5.598277E-2,2.026777E+0
4/16/2021  11:27:25.437532,7.112832E-2,1.743162E+0
4/16/2021  11:27:25.437534,9.304103E-2,1.424116E+0
4/16/2021  11:27:25.437536,9.851921E-2,1.079464E+0
4/16/2021  11:27:25.437538,1.126980E-1,7.175816E-1
4/16/2021  11:27:25.437540,1.168872E-1,3.473253E-1
4/16/2021  11:27:25.437542,1.126980E-1,-2.550690E-2
4/16/2021  11:27:25.437544,1.126980E-1,-3.933460E-1
4/16/2021  11:27:25.437546,1.004527E-1,-7.359000E-1
4/16/2021  11:27:25.437548,9.690798E-2,-1.046566E+0
4/16/2021  11:27:25.437550,7.531751E-2,-1.320996E+0
4/16/2021  11:27:25.437552,6.049421E-2,-1.555164E+0
4/16/2021  11:27:25.437554,4.341518E-2,-1.744399E+0
4/16/2021  11:27:25.437556,1.634654E-2,-1.886285E+0
4/16/2021  11:27:25.437558,2.489978E-3,-1.978406E+0
4/16/2021  11:27:25.437560,-2.651213E-2,-2.019796E+0
4/16/2021  11:27:25.437562,-4.004645E-2,-2.010616E+0
4/16/2021  11:27:25.437564,-6.937081E-2,-1.951188E+0
4/16/2021  11:27:25.437566,-8.258288E-2,-1.844411E+0
4/16/2021  11:27:25.437568,-1.028844E-1,-1.694473E+0
4/16/2021  11:27:25.437570,-1.244748E-1,-1.508137E+0
4/16/2021  11:27:25.437572,-1.315642E-1,-1.291041E+0
4/16/2021  11:27:25.437574,-1.508990E-1,-1.050109E+0
4/16/2021  11:27:25.437576,-1.499322E-1,-7.914624E-1
4/16/2021  11:27:25.437578,-1.615331E-1,-5.215421E-1
4/16/2021  11:27:25.437580,-1.631443E-1,-2.467902E-1
4/16/2021  11:27:25.437582,-1.573439E-1,2.860607E-2
4/16/2021  11:27:25.437584,-1.631443E-1,2.945007E-1
4/16/2021  11:27:25.437586,-1.502545E-1,5.394590E-1
4/16/2021  11:27:25.437588,-1.450985E-1,7.594549E-1
4/16/2021  11:27:25.437590,-1.286640E-1,9.514282E-1
4/16/2021  11:27:25.437592,-1.251193E-1,1.111836E+0
4/16/2021  11:27:25.437594,-1.041733E-1,1.238423E+0
4/16/2021  11:27:25.437596,-8.258288E-2,1.328773E+0
4/16/2021  11:27:25.437598,-7.774920E-2,1.382081E+0
4/16/2021  11:27:25.437600,-5.325853E-2,1.397864E+0
4/16/2021  11:27:25.437602,-4.326891E-2,1.376928E+0
4/16/2021  11:27:25.437604,-2.361192E-2,1.319432E+0
4/16/2021  11:27:25.437606,-1.265557E-2,1.228115E+0
4/16/2021  11:27:25.437608,2.167733E-3,1.107487E+0
4/16/2021  11:27:25.437610,1.924676E-2,9.614134E-1
4/16/2021  11:27:25.437612,2.021349E-2,7.942420E-1
4/16/2021  11:27:25.437614,3.278108E-2,6.112878E-1
4/16/2021  11:27:25.437616,3.439230E-2,4.168993E-1
4/16/2021  11:27:25.437618,3.825925E-2,2.160690E-1
4/16/2021  11:27:25.437620,4.148171E-2,1.233997E-2
4/16/2021  11:27:25.437622,3.600353E-2,-1.892952E-1
4/16/2021  11:27:25.437624,3.632578E-2,-3.794957E-1
4/16/2021  11:27:25.437626,2.633616E-2,-5.531079E-1
4/16/2021  11:27:25.437628,2.633616E-2,-7.075552E-1
4/16/2021  11:27:25.437630,1.247960E-2,-8.391333E-1
4/16/2021  11:27:25.437632,2.342585E-4,-9.463928E-1
4/16/2021  11:27:25.437634,-9.433113E-3,-1.027401E+0
4/16/2021  11:27:25.437636,-2.167845E-2,-1.080709E+0
4/16/2021  11:27:25.437638,-2.747887E-2,-1.105994E+0
4/16/2021  11:27:25.437640,-4.681361E-2,-1.103739E+0
4/16/2021  11:27:25.437642,-5.551425E-2,-1.073945E+0
4/16/2021  11:27:25.437644,-6.743734E-2,-1.018221E+0
4/16/2021  11:27:25.437646,-7.742695E-2,-9.386624E-1
4/16/2021  11:27:25.437648,-8.387186E-2,-8.386501E-1
4/16/2021  11:27:25.437650,-9.289474E-2,-7.209223E-1
4/16/2021  11:27:25.437652,-9.643944E-2,-5.901495E-1
4/16/2021  11:27:25.437654,-1.051401E-1,-4.492305E-1
4/16/2021  11:27:25.437656,-1.064291E-1,-3.015473E-1
4/16/2021  11:27:25.437658,-1.077180E-1,-1.506431E-1
4/16/2021  11:27:25.437660,-1.086848E-1,-3.830183E-4
4/16/2021  11:27:25.437662,-1.035288E-1,1.447235E-1
4/16/2021  11:27:25.437664,-1.022399E-1,2.788787E-1
4/16/2021  11:27:25.437666,-9.450597E-2,3.990226E-1
4/16/2021  11:27:25.437668,-9.289474E-2,5.033836E-1
4/16/2021  11:27:25.437670,-8.290513E-2,5.897069E-1
4/16/2021  11:27:25.437672,-7.581572E-2,6.570263E-1
4/16/2021  11:27:25.437674,-7.065979E-2,7.043754E-1
4/16/2021  11:27:25.437676,-5.615874E-2,7.309488E-1
4/16/2021  11:27:25.437678,-5.229179E-2,7.367467E-1
