waveform,V_S,V_C
t0,5/26/2021  11:25:56.013271,5/26/2021  11:25:56.013272
delta t,2.500000E-6,2.500000E-6

time,V_S,V_C
5/26/2021  11:25:56.013271,4.737760E+0,1.675580E-2
5/26/2021  11:25:56.013273,-1.156756E-2,3.572850E-2
5/26/2021  11:25:56.013276,-1.092337E-2,5.346109E-2
5/26/2021  11:25:56.013278,-9.634999E-3,6.953479E-2
5/26/2021  11:25:56.013281,-8.346628E-3,8.359528E-2
5/26/2021  11:25:56.013283,-7.380350E-3,9.556202E-2
5/26/2021  11:25:56.013286,-6.091980E-3,1.052095E-1
5/26/2021  11:25:56.013288,-4.481516E-3,1.124733E-1
5/26/2021  11:25:56.013291,-3.193146E-3,1.172568E-1
5/26/2021  11:25:56.013293,-1.904775E-3,1.194956E-1
5/26/2021  11:25:56.013296,2.778109E-5,1.192540E-1
5/26/2021  11:25:56.013298,1.316152E-3,1.167736E-1
5/26/2021  11:25:56.013301,3.248708E-3,1.120063E-1
5/26/2021  11:25:56.013303,3.892893E-3,1.051773E-1
5/26/2021  11:25:56.013306,4.537079E-3,9.644785E-2
5/26/2021  11:25:56.013308,6.147542E-3,8.609171E-2
5/26/2021  11:25:56.013311,6.147542E-3,7.439879E-2
5/26/2021  11:25:56.013313,7.435913E-3,6.162678E-2
5/26/2021  11:25:56.013316,7.435913E-3,4.793676E-2
5/26/2021  11:25:56.013318,8.080098E-3,3.382801E-2
5/26/2021  11:25:56.013321,8.402191E-3,1.950990E-2
5/26/2021  11:25:56.013323,8.402191E-3,5.224020E-3
5/26/2021  11:25:56.013326,7.758005E-3,-8.659198E-3
5/26/2021  11:25:56.013328,7.435913E-3,-2.199481E-2
5/26/2021  11:25:56.013331,7.435913E-3,-3.441237E-2
5/26/2021  11:25:56.013333,6.469635E-3,-4.570252E-2
5/26/2021  11:25:56.013336,5.825449E-3,-5.567200E-2
5/26/2021  11:25:56.013338,4.859171E-3,-6.432080E-2
5/26/2021  11:25:56.013341,4.859171E-3,-7.126238E-2
5/26/2021  11:25:56.013343,3.248708E-3,-7.665781E-2
5/26/2021  11:25:56.013346,1.960337E-3,-8.031382E-2
5/26/2021  11:25:56.013348,9.940591E-4,-8.227872E-2
5/26/2021  11:25:56.013351,2.778109E-5,-8.263304E-2
5/26/2021  11:25:56.013353,-6.164043E-4,-8.123184E-2
5/26/2021  11:25:56.013356,-1.904775E-3,-7.828449E-2
5/26/2021  11:25:56.013358,-2.871053E-3,-7.382319E-2
5/26/2021  11:25:56.013361,-3.193146E-3,-6.813786E-2
5/26/2021  11:25:56.013363,-4.159424E-3,-6.122849E-2
5/26/2021  11:25:56.013366,-4.481516E-3,-5.338498E-2
5/26/2021  11:25:56.013368,-5.769887E-3,-4.472007E-2
5/26/2021  11:25:56.013371,-5.769887E-3,-3.542704E-2
5/26/2021  11:25:56.013373,-6.414072E-3,-2.574746E-2
5/26/2021  11:25:56.013376,-6.091980E-3,-1.585849E-2
5/26/2021  11:25:56.013378,-6.414072E-3,-5.969527E-3
5/26/2021  11:25:56.013381,-5.125702E-3,3.693966E-3
5/26/2021  11:25:56.013383,-5.769887E-3,1.293871E-2
5/26/2021  11:25:56.013386,-5.125702E-3,2.171640E-2
5/26/2021  11:25:56.013388,-4.803609E-3,2.962438E-2
5/26/2021  11:25:56.013391,-4.481516E-3,3.675928E-2
5/26/2021  11:25:56.013393,-4.159424E-3,4.289562E-2
5/26/2021  11:25:56.013396,-3.515238E-3,4.804950E-2
5/26/2021  11:25:56.013398,-2.548960E-3,5.199545E-2
5/26/2021  11:25:56.013401,-1.582682E-3,5.479788E-2
5/26/2021  11:25:56.013403,-1.582682E-3,5.647289E-2
5/26/2021  11:25:56.013406,-1.260590E-3,5.685943E-2
5/26/2021  11:25:56.013408,-2.943116E-4,5.618298E-2
5/26/2021  11:25:56.013411,1.316152E-3,5.437912E-2
