waveform,V_S,V_C
t0,5/26/2021  09:45:37.343867,5/26/2021  09:45:37.343868
delta t,2.000000E-6,2.000000E-6

time,V_S,V_C
5/26/2021  09:45:37.343867,4.741304E+0,1.606325E-2
5/26/2021  09:45:37.343869,-2.380708E-2,4.924134E-2
5/26/2021  09:45:37.343871,-2.284080E-2,7.895677E-2
5/26/2021  09:45:37.343873,-2.123033E-2,1.067235E-1
5/26/2021  09:45:37.343875,-1.961987E-2,1.322838E-1
5/26/2021  09:45:37.343877,-1.833150E-2,1.554927E-1
5/26/2021  09:45:37.343879,-1.672104E-2,1.759797E-1
5/26/2021  09:45:37.343881,-1.414430E-2,1.936644E-1
5/26/2021  09:45:37.343883,-1.124546E-2,2.083694E-1
5/26/2021  09:45:37.343885,-9.957092E-3,2.200143E-1
5/26/2021  09:45:37.343887,-7.058258E-3,2.285184E-1
5/26/2021  09:45:37.343889,-4.803609E-3,2.338819E-1
5/26/2021  09:45:37.343891,-1.904775E-3,2.361529E-1
5/26/2021  09:45:37.343893,-2.943116E-4,2.353636E-1
5/26/2021  09:45:37.343895,2.926615E-3,2.315625E-1
5/26/2021  09:45:37.343897,4.537079E-3,2.248462E-1
5/26/2021  09:45:37.343899,6.469635E-3,2.156172E-1
5/26/2021  09:45:37.343901,8.080098E-3,2.038113E-1
5/26/2021  09:45:37.343903,1.033475E-2,1.897022E-1
5/26/2021  09:45:37.343905,1.162312E-2,1.735960E-1
5/26/2021  09:45:37.343907,1.323358E-2,1.557182E-1
5/26/2021  09:45:37.343909,1.452195E-2,1.363103E-1
5/26/2021  09:45:37.343911,1.516614E-2,1.156784E-1
5/26/2021  09:45:37.343913,1.645451E-2,9.411249E-2
5/26/2021  09:45:37.343915,1.742079E-2,7.195068E-2
5/26/2021  09:45:37.343917,1.645451E-2,4.945072E-2
5/26/2021  09:45:37.343919,1.709869E-2,2.693470E-2
5/26/2021  09:45:37.343921,1.645451E-2,4.660316E-3
5/26/2021  09:45:37.343923,1.613242E-2,-1.706643E-2
5/26/2021  09:45:37.343925,1.548823E-2,-3.795564E-2
5/26/2021  09:45:37.343927,1.548823E-2,-5.786238E-2
5/26/2021  09:45:37.343929,1.419986E-2,-7.638401E-2
5/26/2021  09:45:37.343931,1.323358E-2,-9.342390E-2
5/26/2021  09:45:37.343933,1.194521E-2,-1.088210E-1
5/26/2021  09:45:37.343935,1.065684E-2,-1.224626E-1
5/26/2021  09:45:37.343937,8.724284E-3,-1.340587E-1
5/26/2021  09:45:37.343939,7.435913E-3,-1.436899E-1
5/26/2021  09:45:37.343941,5.825449E-3,-1.512435E-1
5/26/2021  09:45:37.343943,3.892893E-3,-1.566390E-1
5/26/2021  09:45:37.343945,2.604523E-3,-1.598601E-1
5/26/2021  09:45:37.343947,1.316152E-3,-1.609553E-1
5/26/2021  09:45:37.343949,-1.582682E-3,-1.599890E-1
5/26/2021  09:45:37.343951,-2.226868E-3,-1.570416E-1
5/26/2021  09:45:37.343953,-3.193146E-3,-1.521455E-1
5/26/2021  09:45:37.343955,-5.125702E-3,-1.454133E-1
5/26/2021  09:45:37.343957,-7.058258E-3,-1.370222E-1
5/26/2021  09:45:37.343959,-7.702443E-3,-1.271332E-1
5/26/2021  09:45:37.343961,-8.990814E-3,-1.158592E-1
