waveform,V_S,V_C
t0,5/26/2021  10:35:15.946972,5/26/2021  10:35:15.946973
delta t,2.000000E-6,2.000000E-6

time,V_S,V_C
5/26/2021  10:35:15.946972,4.742592E+0,1.496805E-2
5/26/2021  10:35:15.946974,-1.188965E-2,3.023640E-2
5/26/2021  10:35:15.946976,-1.124546E-2,4.490885E-2
5/26/2021  10:35:15.946978,-1.092337E-2,5.863108E-2
5/26/2021  10:35:15.946980,-9.634999E-3,7.112928E-2
5/26/2021  10:35:15.946982,-8.990814E-3,8.238734E-2
5/26/2021  10:35:15.946984,-8.024536E-3,9.234083E-2
5/26/2021  10:35:15.946986,-6.736165E-3,1.007804E-1
5/26/2021  10:35:15.946988,-6.414072E-3,1.076898E-1
5/26/2021  10:35:15.946990,-4.481516E-3,1.130693E-1
5/26/2021  10:35:15.946992,-3.193146E-3,1.168220E-1
5/26/2021  10:35:15.946994,-2.226868E-3,1.190607E-1
5/26/2021  10:35:15.946996,-6.164043E-4,1.195439E-1
5/26/2021  10:35:15.946998,3.498738E-4,1.186581E-1
5/26/2021  10:35:15.947000,1.316152E-3,1.162260E-1
5/26/2021  10:35:15.947002,1.960337E-3,1.123767E-1
5/26/2021  10:35:15.947004,3.248708E-3,1.070939E-1
5/26/2021  10:35:15.947006,4.214986E-3,1.006998E-1
5/26/2021  10:35:15.947008,4.859171E-3,9.322666E-2
5/26/2021  10:35:15.947010,5.503357E-3,8.470660E-2
5/26/2021  10:35:15.947012,6.791727E-3,7.523629E-2
5/26/2021  10:35:15.947014,7.758005E-3,6.508956E-2
5/26/2021  10:35:15.947016,7.435913E-3,5.445965E-2
5/26/2021  10:35:15.947018,7.758005E-3,4.339490E-2
5/26/2021  10:35:15.947020,7.758005E-3,3.200805E-2
5/26/2021  10:35:15.947022,8.402191E-3,2.054067E-2
5/26/2021  10:35:15.947024,7.435913E-3,9.137737E-3
5/26/2021  10:35:15.947026,8.080098E-3,-2.104131E-3
5/26/2021  10:35:15.947028,7.435913E-3,-1.299166E-2
5/26/2021  10:35:15.947030,7.113820E-3,-2.336380E-2
5/26/2021  10:35:15.947032,7.435913E-3,-3.330107E-2
5/26/2021  10:35:15.947034,7.113820E-3,-4.243305E-2
5/26/2021  10:35:15.947036,5.825449E-3,-5.085637E-2
5/26/2021  10:35:15.947038,5.503357E-3,-5.836166E-2
5/26/2021  10:35:15.947040,4.859171E-3,-6.486839E-2
5/26/2021  10:35:15.947042,3.892893E-3,-7.042488E-2
5/26/2021  10:35:15.947044,3.570801E-3,-7.495060E-2
5/26/2021  10:35:15.947046,2.282430E-3,-7.834891E-2
5/26/2021  10:35:15.947048,1.638244E-3,-8.068425E-2
5/26/2021  10:35:15.947050,6.719664E-4,-8.194050E-2
5/26/2021  10:35:15.947052,3.498738E-4,-8.205324E-2
5/26/2021  10:35:15.947054,-6.164043E-4,-8.119963E-2
5/26/2021  10:35:15.947056,-1.582682E-3,-7.933136E-2
5/26/2021  10:35:15.947058,-1.904775E-3,-7.641622E-2
5/26/2021  10:35:15.947060,-3.515238E-3,-7.259916E-2
5/26/2021  10:35:15.947062,-3.837331E-3,-6.799291E-2
5/26/2021  10:35:15.947064,-4.481516E-3,-6.271022E-2
5/26/2021  10:35:15.947066,-4.803609E-3,-5.667056E-2
5/26/2021  10:35:15.947068,-5.447794E-3,-5.008330E-2
5/26/2021  10:35:15.947070,-5.447794E-3,-4.306118E-2
5/26/2021  10:35:15.947072,-5.769887E-3,-3.566862E-2
5/26/2021  10:35:15.947074,-5.769887E-3,-2.800227E-2
5/26/2021  10:35:15.947076,-6.414072E-3,-2.017485E-2
5/26/2021  10:35:15.947078,-5.769887E-3,-1.229911E-2
5/26/2021  10:35:15.947080,-6.091980E-3,-4.568321E-3
5/26/2021  10:35:15.947082,-6.091980E-3,3.162474E-3
5/26/2021  10:35:15.947084,-5.769887E-3,1.057116E-2
5/26/2021  10:35:15.947086,-5.125702E-3,1.760941E-2
5/26/2021  10:35:15.947088,-5.125702E-3,2.434165E-2
5/26/2021  10:35:15.947090,-4.803609E-3,3.042967E-2
5/26/2021  10:35:15.947092,-4.159424E-3,3.606672E-2
5/26/2021  10:35:15.947094,-4.159424E-3,4.109176E-2
5/26/2021  10:35:15.947096,-3.515238E-3,4.539203E-2
5/26/2021  10:35:15.947098,-2.871053E-3,4.908028E-2
5/26/2021  10:35:15.947100,-2.871053E-3,5.193102E-2
5/26/2021  10:35:15.947102,-2.226868E-3,5.415364E-2
5/26/2021  10:35:15.947104,-9.384969E-4,5.555485E-2
5/26/2021  10:35:15.947106,-9.384969E-4,5.623130E-2
5/26/2021  10:35:15.947108,-6.164043E-4,5.615077E-2
5/26/2021  10:35:15.947110,3.498738E-4,5.534548E-2
5/26/2021  10:35:15.947112,6.719664E-4,5.383152E-2
5/26/2021  10:35:15.947114,9.940591E-4,5.178607E-2
5/26/2021  10:35:15.947116,1.638244E-3,4.906417E-2
5/26/2021  10:35:15.947118,2.282430E-3,4.576247E-2
5/26/2021  10:35:15.947120,2.282430E-3,4.192926E-2
5/26/2021  10:35:15.947122,2.604523E-3,3.772563E-2
5/26/2021  10:35:15.947124,3.248708E-3,3.313546E-2
5/26/2021  10:35:15.947126,3.570801E-3,2.819096E-2
5/26/2021  10:35:15.947128,3.248708E-3,2.313372E-2
5/26/2021  10:35:15.947130,3.248708E-3,1.780268E-2
5/26/2021  10:35:15.947132,3.570801E-3,1.245554E-2
5/26/2021  10:35:15.947134,3.570801E-3,7.076190E-3
5/26/2021  10:35:15.947136,3.892893E-3,1.745161E-3
5/26/2021  10:35:15.947138,3.570801E-3,-3.505337E-3
5/26/2021  10:35:15.947140,3.248708E-3,-8.562563E-3
5/26/2021  10:35:15.947142,3.248708E-3,-1.332988E-2
5/26/2021  10:35:15.947144,2.926615E-3,-1.782340E-2
5/26/2021  10:35:15.947146,2.604523E-3,-2.197870E-2
5/26/2021  10:35:15.947148,2.282430E-3,-2.573135E-2
5/26/2021  10:35:15.947150,2.282430E-3,-2.906525E-2
5/26/2021  10:35:15.947152,1.960337E-3,-3.191597E-2
5/26/2021  10:35:15.947154,1.316152E-3,-3.429963E-2
5/26/2021  10:35:15.947156,1.316152E-3,-3.615180E-2
5/26/2021  10:35:15.947158,1.316152E-3,-3.747247E-2
5/26/2021  10:35:15.947160,3.498738E-4,-3.834218E-2
5/26/2021  10:35:15.947162,2.778109E-5,-3.869651E-2
5/26/2021  10:35:15.947164,3.498738E-4,-3.855156E-2
5/26/2021  10:35:15.947166,-9.384969E-4,-3.782680E-2
5/26/2021  10:35:15.947168,-9.384969E-4,-3.674771E-2
5/26/2021  10:35:15.947170,-1.582682E-3,-3.513713E-2
5/26/2021  10:35:15.947172,-1.582682E-3,-3.318833E-2
5/26/2021  10:35:15.947174,-1.582682E-3,-3.085299E-2
5/26/2021  10:35:15.947176,-1.582682E-3,-2.813111E-2
5/26/2021  10:35:15.947178,-2.548960E-3,-2.513544E-2
5/26/2021  10:35:15.947180,-2.548960E-3,-2.197870E-2
5/26/2021  10:35:15.947182,-2.871053E-3,-1.859648E-2
5/26/2021  10:35:15.947184,-2.871053E-3,-1.500489E-2
5/26/2021  10:35:15.947186,-3.193146E-3,-1.138108E-2
5/26/2021  10:35:15.947188,-2.548960E-3,-7.725061E-3
5/26/2021  10:35:15.947190,-3.515238E-3,-4.020723E-3
5/26/2021  10:35:15.947192,-2.871053E-3,-3.324904E-4
5/26/2021  10:35:15.947194,-2.548960E-3,3.210791E-3
5/26/2021  10:35:15.947196,-2.871053E-3,6.609121E-3
5/26/2021  10:35:15.947198,-3.193146E-3,9.846394E-3
5/26/2021  10:35:15.947200,-2.871053E-3,1.289040E-2
5/26/2021  10:35:15.947202,-2.548960E-3,1.566060E-2
5/26/2021  10:35:15.947204,-1.904775E-3,1.814090E-2
5/26/2021  10:35:15.947206,-1.582682E-3,2.039572E-2
5/26/2021  10:35:15.947208,-2.226868E-3,2.224789E-2
5/26/2021  10:35:15.947210,-1.904775E-3,2.379406E-2
5/26/2021  10:35:15.947212,-1.582682E-3,2.500200E-2
5/26/2021  10:35:15.947214,-6.164043E-4,2.588782E-2
5/26/2021  10:35:15.947216,-2.943116E-4,2.632268E-2
5/26/2021  10:35:15.947218,-2.943116E-4,2.646763E-2
5/26/2021  10:35:15.947220,2.778109E-5,2.629046E-2
5/26/2021  10:35:15.947222,3.498738E-4,2.572676E-2
5/26/2021  10:35:15.947224,2.778109E-5,2.488925E-2
5/26/2021  10:35:15.947226,6.719664E-4,2.374574E-2
5/26/2021  10:35:15.947228,9.940591E-4,2.231232E-2
5/26/2021  10:35:15.947230,6.719664E-4,2.062120E-2
5/26/2021  10:35:15.947232,9.940591E-4,1.875292E-2
5/26/2021  10:35:15.947234,1.638244E-3,1.665916E-2
5/26/2021  10:35:15.947236,1.638244E-3,1.438824E-2
5/26/2021  10:35:15.947238,9.940591E-4,1.208511E-2
5/26/2021  10:35:15.947240,1.960337E-3,9.572594E-3
5/26/2021  10:35:15.947242,1.316152E-3,7.060084E-3
5/26/2021  10:35:15.947244,1.316152E-3,4.499257E-3
5/26/2021  10:35:15.947246,1.316152E-3,2.002854E-3
5/26/2021  10:35:15.947248,1.960337E-3,-4.291253E-4
5/26/2021  10:35:15.947250,1.316152E-3,-2.909422E-3
5/26/2021  10:35:15.947252,1.316152E-3,-5.164236E-3
5/26/2021  10:35:15.947254,1.316152E-3,-7.370733E-3
5/26/2021  10:35:15.947256,9.940591E-4,-9.464489E-3
5/26/2021  10:35:15.947258,1.316152E-3,-1.131666E-2
5/26/2021  10:35:15.947260,9.940591E-4,-1.297556E-2
5/26/2021  10:35:15.947262,9.940591E-4,-1.440897E-2
5/26/2021  10:35:15.947264,6.719664E-4,-1.564912E-2
5/26/2021  10:35:15.947266,9.940591E-4,-1.661547E-2
5/26/2021  10:35:15.947268,6.719664E-4,-1.742076E-2
5/26/2021  10:35:15.947270,2.778109E-5,-1.788783E-2
5/26/2021  10:35:15.947272,-2.943116E-4,-1.825826E-2
