waveform,V_S,V_C
t0,5/26/2021  11:29:15.193105,5/26/2021  11:29:15.193106
delta t,2.000000E-6,2.000000E-6

time,V_S,V_C
5/26/2021  11:29:15.193105,4.739049E+0,1.002356E-2
5/26/2021  11:29:15.193107,-2.831637E-2,5.586087E-2
5/26/2021  11:29:15.193109,-2.735009E-2,9.176101E-2
5/26/2021  11:29:15.193111,-2.573963E-2,1.252776E-1
5/26/2021  11:29:15.193113,-2.316289E-2,1.563463E-1
5/26/2021  11:29:15.193115,-2.155243E-2,1.843872E-1
5/26/2021  11:29:15.193117,-1.929778E-2,2.093841E-1
5/26/2021  11:29:15.193119,-1.672104E-2,2.309827E-1
5/26/2021  11:29:15.193121,-1.446639E-2,2.490219E-1
5/26/2021  11:29:15.193123,-1.188965E-2,2.634372E-1
5/26/2021  11:29:15.193125,-8.024536E-3,2.740997E-1
5/26/2021  11:29:15.193127,-5.447794E-3,2.808645E-1
5/26/2021  11:29:15.193129,-3.193146E-3,2.840053E-1
5/26/2021  11:29:15.193131,-6.164043E-4,2.834737E-1
5/26/2021  11:29:15.193133,2.926615E-3,2.792860E-1
5/26/2021  11:29:15.193135,4.859171E-3,2.716998E-1
5/26/2021  11:29:15.193137,7.435913E-3,2.608440E-1
5/26/2021  11:29:15.193139,1.001265E-2,2.468958E-1
5/26/2021  11:29:15.193141,1.226730E-2,2.302418E-1
5/26/2021  11:29:15.193143,1.355567E-2,2.111075E-1
5/26/2021  11:29:15.193145,1.548823E-2,1.896700E-1
5/26/2021  11:29:15.193147,1.742079E-2,1.665415E-1
5/26/2021  11:29:15.193149,1.838706E-2,1.418025E-1
5/26/2021  11:29:15.193151,1.870916E-2,1.158878E-1
5/26/2021  11:29:15.193153,1.967544E-2,8.924848E-2
5/26/2021  11:29:15.193155,1.999753E-2,6.206164E-2
5/26/2021  11:29:15.193157,1.999753E-2,3.484268E-2
5/26/2021  11:29:15.193159,1.967544E-2,7.833164E-3
5/26/2021  11:29:15.193161,1.967544E-2,-1.851595E-2
5/26/2021  11:29:15.193163,1.870916E-2,-4.397921E-2
5/26/2021  11:29:15.193165,1.838706E-2,-6.818618E-2
5/26/2021  11:29:15.193167,1.709869E-2,-9.073424E-2
5/26/2021  11:29:15.193169,1.548823E-2,-1.116556E-1
5/26/2021  11:29:15.193171,1.419986E-2,-1.305154E-1
5/26/2021  11:29:15.193173,1.291149E-2,-1.472493E-1
5/26/2021  11:29:15.193175,1.033475E-2,-1.616156E-1
5/26/2021  11:29:15.193177,9.046376E-3,-1.734534E-1
5/26/2021  11:29:15.193179,7.435913E-3,-1.828914E-1
5/26/2021  11:29:15.193181,5.181264E-3,-1.897041E-1
5/26/2021  11:29:15.193183,3.248708E-3,-1.938433E-1
5/26/2021  11:29:15.193185,1.638244E-3,-1.954700E-1
5/26/2021  11:29:15.193187,-6.164043E-4,-1.945680E-1
5/26/2021  11:29:15.193189,-2.548960E-3,-1.912180E-1
5/26/2021  11:29:15.193191,-4.159424E-3,-1.855005E-1
5/26/2021  11:29:15.193193,-6.414072E-3,-1.775442E-1
5/26/2021  11:29:15.193195,-7.702443E-3,-1.676070E-1
5/26/2021  11:29:15.193197,-8.668721E-3,-1.557048E-1
5/26/2021  11:29:15.193199,-1.027918E-2,-1.422404E-1
5/26/2021  11:29:15.193201,-1.092337E-2,-1.271977E-1
5/26/2021  11:29:15.193203,-1.221174E-2,-1.109792E-1
5/26/2021  11:29:15.193205,-1.285593E-2,-9.374601E-2
5/26/2021  11:29:15.193207,-1.350011E-2,-7.582031E-2
5/26/2021  11:29:15.193209,-1.382220E-2,-5.739532E-2
5/26/2021  11:29:15.193211,-1.446639E-2,-3.863209E-2
5/26/2021  11:29:15.193213,-1.446639E-2,-1.998158E-2
5/26/2021  11:29:15.193215,-1.414430E-2,-1.492110E-3
5/26/2021  11:29:15.193217,-1.350011E-2,1.651421E-2
5/26/2021  11:29:15.193219,-1.350011E-2,3.386022E-2
5/26/2021  11:29:15.193221,-1.221174E-2,5.025601E-2
5/26/2021  11:29:15.193223,-1.188965E-2,6.552442E-2
5/26/2021  11:29:15.193225,-1.060128E-2,7.956880E-2
5/26/2021  11:29:15.193227,-9.634999E-3,9.224419E-2
5/26/2021  11:29:15.193229,-8.346628E-3,1.034379E-1
5/26/2021  11:29:15.193231,-7.702443E-3,1.129404E-1
5/26/2021  11:29:15.193233,-5.769887E-3,1.207518E-1
5/26/2021  11:29:15.193235,-5.447794E-3,1.268238E-1
5/26/2021  11:29:15.193237,-3.837331E-3,1.311402E-1
5/26/2021  11:29:15.193239,-1.904775E-3,1.335723E-1
5/26/2021  11:29:15.193241,-6.164043E-4,1.342809E-1
5/26/2021  11:29:15.193243,2.778109E-5,1.332985E-1
5/26/2021  11:29:15.193245,1.960337E-3,1.305926E-1
5/26/2021  11:29:15.193247,3.248708E-3,1.262762E-1
5/26/2021  11:29:15.193249,3.248708E-3,1.204458E-1
5/26/2021  11:29:15.193251,4.859171E-3,1.132947E-1
5/26/2021  11:29:15.193253,6.147542E-3,1.048230E-1
5/26/2021  11:29:15.193255,6.469635E-3,9.532043E-2
5/26/2021  11:29:15.193257,6.791727E-3,8.469049E-2
5/26/2021  11:29:15.193259,8.402191E-3,7.338411E-2
5/26/2021  11:29:15.193261,9.046376E-3,6.144962E-2
5/26/2021  11:29:15.193263,9.046376E-3,4.906417E-2
5/26/2021  11:29:15.193265,8.402191E-3,3.624389E-2
5/26/2021  11:29:15.193267,1.001265E-2,2.339141E-2
5/26/2021  11:29:15.193269,9.046376E-3,1.050673E-2
5/26/2021  11:29:15.193271,9.046376E-3,-2.104131E-3
5/26/2021  11:29:15.193273,9.046376E-3,-1.439287E-2
5/26/2021  11:29:15.193275,8.724284E-3,-2.613399E-2
5/26/2021  11:29:15.193277,7.435913E-3,-3.726310E-2
5/26/2021  11:29:15.193279,7.758005E-3,-4.757079E-2
5/26/2021  11:29:15.193281,6.791727E-3,-5.707320E-2
5/26/2021  11:29:15.193283,6.147542E-3,-6.551262E-2
5/26/2021  11:29:15.193285,5.181264E-3,-7.288906E-2
5/26/2021  11:29:15.193287,4.537079E-3,-7.917031E-2
5/26/2021  11:29:15.193289,3.570801E-3,-8.425973E-2
5/26/2021  11:29:15.193291,2.926615E-3,-8.814121E-2
5/26/2021  11:29:15.193293,1.960337E-3,-9.078256E-2
5/26/2021  11:29:15.193295,6.719664E-4,-9.216765E-2
5/26/2021  11:29:15.193297,-2.943116E-4,-9.236092E-2
5/26/2021  11:29:15.193299,-9.384969E-4,-9.137847E-2
5/26/2021  11:29:15.193301,-1.582682E-3,-8.923640E-2
5/26/2021  11:29:15.193303,-2.871053E-3,-8.603136E-2
5/26/2021  11:29:15.193305,-3.837331E-3,-8.181165E-2
5/26/2021  11:29:15.193307,-3.837331E-3,-7.662560E-2
5/26/2021  11:29:15.193309,-4.481516E-3,-7.058594E-2
5/26/2021  11:29:15.193311,-5.769887E-3,-6.385373E-2
5/26/2021  11:29:15.193313,-5.447794E-3,-5.646118E-2
5/26/2021  11:29:15.193315,-6.091980E-3,-4.850493E-2
5/26/2021  11:29:15.193317,-6.414072E-3,-4.019435E-2
5/26/2021  11:29:15.193319,-6.736165E-3,-3.159386E-2
5/26/2021  11:29:15.193321,-6.736165E-3,-2.278399E-2
5/26/2021  11:29:15.193323,-7.702443E-3,-1.399022E-2
5/26/2021  11:29:15.193325,-7.058258E-3,-5.115919E-3
5/26/2021  11:29:15.193327,-7.058258E-3,3.516802E-3
