waveform,V_S,V_C
t0,5/26/2021  11:24:20.715961,5/26/2021  11:24:20.715962
delta t,2.000000E-6,2.000000E-6

time,V_S,V_C
5/26/2021  11:24:20.715961,4.737116E+0,1.673969E-2
5/26/2021  11:24:20.715963,-1.639894E-2,3.830544E-2
5/26/2021  11:24:20.715965,-1.575476E-2,5.898541E-2
5/26/2021  11:24:20.715967,-1.511057E-2,7.831253E-2
5/26/2021  11:24:20.715969,-1.446639E-2,9.604520E-2
5/26/2021  11:24:20.715971,-1.285593E-2,1.121190E-1
5/26/2021  11:24:20.715973,-1.060128E-2,1.262440E-1
5/26/2021  11:24:20.715975,-9.957092E-3,1.384041E-1
5/26/2021  11:24:20.715977,-8.024536E-3,1.484865E-1
5/26/2021  11:24:20.715979,-6.091980E-3,1.563463E-1
5/26/2021  11:24:20.715981,-4.803609E-3,1.619351E-1
5/26/2021  11:24:20.715983,-3.193146E-3,1.654302E-1
5/26/2021  11:24:20.715985,-1.260590E-3,1.667026E-1
5/26/2021  11:24:20.715987,3.498738E-4,1.658006E-1
5/26/2021  11:24:20.715989,1.316152E-3,1.627888E-1
5/26/2021  11:24:20.715991,3.570801E-3,1.577798E-1
5/26/2021  11:24:20.715993,4.537079E-3,1.508863E-1
5/26/2021  11:24:20.715995,5.825449E-3,1.422534E-1
5/26/2021  11:24:20.715997,6.791727E-3,1.320422E-1
5/26/2021  11:24:20.715999,8.402191E-3,1.204297E-1
5/26/2021  11:24:20.716001,9.690562E-3,1.075288E-1
5/26/2021  11:24:20.716003,1.001265E-2,9.364541E-2
5/26/2021  11:24:20.716005,1.097893E-2,7.894066E-2
5/26/2021  11:24:20.716007,1.097893E-2,6.362392E-2
5/26/2021  11:24:20.716009,1.130103E-2,4.779181E-2
5/26/2021  11:24:20.716011,1.162312E-2,3.191141E-2
5/26/2021  11:24:20.716013,1.162312E-2,1.596661E-2
5/26/2021  11:24:20.716015,1.162312E-2,2.473192E-4
5/26/2021  11:24:20.716017,1.130103E-2,-1.508542E-2
5/26/2021  11:24:20.716019,1.065684E-2,-2.977390E-2
5/26/2021  11:24:20.716021,1.065684E-2,-4.375373E-2
5/26/2021  11:24:20.716023,9.046376E-3,-5.676719E-2
5/26/2021  11:24:20.716025,8.402191E-3,-6.865325E-2
5/26/2021  11:24:20.716027,7.435913E-3,-7.939579E-2
5/26/2021  11:24:20.716029,7.435913E-3,-8.886597E-2
5/26/2021  11:24:20.716031,5.825449E-3,-9.688664E-2
5/26/2021  11:24:20.716033,4.859171E-3,-1.034417E-1
5/26/2021  11:24:20.716035,3.570801E-3,-1.085150E-1
5/26/2021  11:24:20.716037,2.926615E-3,-1.120905E-1
5/26/2021  11:24:20.716039,1.638244E-3,-1.141198E-1
5/26/2021  11:24:20.716041,3.498738E-4,-1.146191E-1
5/26/2021  11:24:20.716043,-1.260590E-3,-1.136688E-1
5/26/2021  11:24:20.716045,-2.226868E-3,-1.113335E-1
5/26/2021  11:24:20.716047,-2.871053E-3,-1.075970E-1
5/26/2021  11:24:20.716049,-4.159424E-3,-1.025881E-1
5/26/2021  11:24:20.716051,-5.447794E-3,-9.640346E-2
5/26/2021  11:24:20.716053,-5.447794E-3,-8.917198E-2
5/26/2021  11:24:20.716055,-6.091980E-3,-8.097415E-2
5/26/2021  11:24:20.716057,-7.058258E-3,-7.192272E-2
5/26/2021  11:24:20.716059,-7.380350E-3,-6.222705E-2
5/26/2021  11:24:20.716061,-7.380350E-3,-5.198378E-2
5/26/2021  11:24:20.716063,-8.346628E-3,-4.141839E-2
5/26/2021  11:24:20.716065,-8.346628E-3,-3.051477E-2
5/26/2021  11:24:20.716067,-8.668721E-3,-1.956283E-2
5/26/2021  11:24:20.716069,-8.668721E-3,-8.546457E-3
5/26/2021  11:24:20.716071,-8.668721E-3,2.147807E-3
5/26/2021  11:24:20.716073,-8.346628E-3,1.258439E-2
5/26/2021  11:24:20.716075,-7.380350E-3,2.263443E-2
5/26/2021  11:24:20.716077,-7.702443E-3,3.208857E-2
5/26/2021  11:24:20.716079,-7.380350E-3,4.089849E-2
5/26/2021  11:24:20.716081,-6.414072E-3,4.885480E-2
5/26/2021  11:24:20.716083,-6.091980E-3,5.603803E-2
5/26/2021  11:24:20.716085,-5.125702E-3,6.230323E-2
5/26/2021  11:24:20.716087,-3.837331E-3,6.763429E-2
5/26/2021  11:24:20.716089,-3.515238E-3,7.187015E-2
5/26/2021  11:24:20.716091,-2.871053E-3,7.518798E-2
5/26/2021  11:24:20.716093,-1.904775E-3,7.734617E-2
5/26/2021  11:24:20.716095,-9.384969E-4,7.850580E-2
5/26/2021  11:24:20.716097,-2.943116E-4,7.865076E-2
5/26/2021  11:24:20.716099,2.778109E-5,7.781325E-2
5/26/2021  11:24:20.716101,1.638244E-3,7.591274E-2
5/26/2021  11:24:20.716103,1.960337E-3,7.307810E-2
5/26/2021  11:24:20.716105,1.960337E-3,6.947037E-2
5/26/2021  11:24:20.716107,2.926615E-3,6.504124E-2
5/26/2021  11:24:20.716109,3.892893E-3,5.990345E-2
5/26/2021  11:24:20.716111,3.570801E-3,5.413753E-2
5/26/2021  11:24:20.716113,4.537079E-3,4.775960E-2
5/26/2021  11:24:20.716115,4.537079E-3,4.104344E-2
5/26/2021  11:24:20.716117,4.214986E-3,3.397296E-2
5/26/2021  11:24:20.716119,5.825449E-3,2.658037E-2
5/26/2021  11:24:20.716121,5.503357E-3,1.909115E-2
5/26/2021  11:24:20.716123,5.181264E-3,1.152140E-2
5/26/2021  11:24:20.716125,5.181264E-3,4.064400E-3
5/26/2021  11:24:20.716127,5.503357E-3,-3.376491E-3
5/26/2021  11:24:20.716129,5.503357E-3,-1.038252E-2
5/26/2021  11:24:20.716131,4.537079E-3,-1.719528E-2
5/26/2021  11:24:20.716133,4.537079E-3,-2.357317E-2
5/26/2021  11:24:20.716135,4.214986E-3,-2.946789E-2
5/26/2021  11:24:20.716137,3.248708E-3,-3.486333E-2
5/26/2021  11:24:20.716139,3.570801E-3,-3.966286E-2
5/26/2021  11:24:20.716141,3.248708E-3,-4.380204E-2
5/26/2021  11:24:20.716143,2.604523E-3,-4.734531E-2
5/26/2021  11:24:20.716145,1.960337E-3,-5.008330E-2
5/26/2021  11:24:20.716147,9.940591E-4,-5.217705E-2
5/26/2021  11:24:20.716149,9.940591E-4,-5.351382E-2
