waveform,Trig,V_R
t0,4/16/2021  12:09:18.209143,4/16/2021  12:09:18.209144
delta t,1.650000E-6,1.650000E-6

time,Trig,V_R
4/16/2021  12:09:18.209282,4.966421E+0,1.379448E-2
4/16/2021  12:09:18.209284,4.963843E+0,1.429683E-2
4/16/2021  12:09:18.209285,4.963199E+0,1.405210E-2
4/16/2021  12:09:18.209287,4.963521E+0,1.316978E-2
4/16/2021  12:09:18.209289,4.969966E+0,1.177868E-2
4/16/2021  12:09:18.209290,4.969644E+0,9.949640E-3
4/16/2021  12:09:18.209292,4.974155E+0,7.991797E-3
4/16/2021  12:09:18.209294,4.977056E+0,5.995312E-3
4/16/2021  12:09:18.209295,4.977700E+0,4.198477E-3
4/16/2021  12:09:18.209297,4.980600E+0,2.852461E-3
4/16/2021  12:09:18.209298,4.984790E+0,2.008785E-3
4/16/2021  12:09:18.209300,4.982212E+0,1.648130E-3
4/16/2021  12:09:18.209302,4.983823E+0,1.860659E-3
4/16/2021  12:09:18.209303,4.982212E+0,2.543328E-3
4/16/2021  12:09:18.209305,4.980278E+0,3.593091E-3
4/16/2021  12:09:18.209307,4.982534E+0,4.958429E-3
4/16/2021  12:09:18.209308,4.976089E+0,6.426810E-3
4/16/2021  12:09:18.209310,4.975767E+0,7.856551E-3
4/16/2021  12:09:18.209312,4.974155E+0,9.170367E-3
4/16/2021  12:09:18.209313,4.972222E+0,1.017505E-2
4/16/2021  12:09:18.209315,4.969644E+0,1.082552E-2
4/16/2021  12:09:18.209317,4.971577E+0,1.108957E-2
4/16/2021  12:09:18.209318,4.969966E+0,1.096720E-2
4/16/2021  12:09:18.209320,4.968999E+0,1.040046E-2
4/16/2021  12:09:18.209322,4.972222E+0,9.595425E-3
4/16/2021  12:09:18.209323,4.969966E+0,8.584302E-3
4/16/2021  12:09:18.209325,4.973833E+0,7.463694E-3
4/16/2021  12:09:18.209327,4.978022E+0,6.426810E-3
4/16/2021  12:09:18.209328,4.977056E+0,5.415688E-3
4/16/2021  12:09:18.209330,4.979311E+0,4.668617E-3
4/16/2021  12:09:18.209331,4.980278E+0,4.198477E-3
4/16/2021  12:09:18.209333,4.981245E+0,4.005269E-3
4/16/2021  12:09:18.209335,4.983501E+0,4.146955E-3
4/16/2021  12:09:18.209336,4.981245E+0,4.584893E-3
4/16/2021  12:09:18.209338,4.977056E+0,5.125876E-3
4/16/2021  12:09:18.209340,4.978989E+0,5.937350E-3
4/16/2021  12:09:18.209341,4.976089E+0,6.781025E-3
4/16/2021  12:09:18.209343,4.973511E+0,7.566739E-3
4/16/2021  12:09:18.209345,4.977378E+0,8.307370E-3
4/16/2021  12:09:18.209346,4.971900E+0,8.841913E-3
4/16/2021  12:09:18.209348,4.970611E+0,9.209008E-3
4/16/2021  12:09:18.209350,4.974800E+0,9.344254E-3
4/16/2021  12:09:18.209351,4.970611E+0,9.234769E-3
4/16/2021  12:09:18.209353,4.973189E+0,8.932077E-3
4/16/2021  12:09:18.209355,4.976089E+0,8.461937E-3
4/16/2021  12:09:18.209356,4.973833E+0,7.850111E-3
4/16/2021  12:09:18.209358,4.974478E+0,7.206083E-3
4/16/2021  12:09:18.209360,4.977700E+0,6.652220E-3
4/16/2021  12:09:18.209361,4.974800E+0,6.059715E-3
4/16/2021  12:09:18.209363,4.979311E+0,5.660418E-3
4/16/2021  12:09:18.209364,4.978989E+0,5.402807E-3
4/16/2021  12:09:18.209366,4.977056E+0,5.338405E-3
4/16/2021  12:09:18.209368,4.979311E+0,5.441449E-3
4/16/2021  12:09:18.209369,4.981889E+0,5.666858E-3
4/16/2021  12:09:18.209371,4.975122E+0,6.008193E-3
4/16/2021  12:09:18.209373,4.979634E+0,6.433251E-3
4/16/2021  12:09:18.209374,4.978989E+0,6.922711E-3
4/16/2021  12:09:18.209376,4.973833E+0,7.347769E-3
4/16/2021  12:09:18.209378,4.978022E+0,7.824350E-3
4/16/2021  12:09:18.209379,4.974800E+0,8.081960E-3
4/16/2021  12:09:18.209381,4.973833E+0,8.268728E-3
4/16/2021  12:09:18.209383,4.976089E+0,8.320251E-3
4/16/2021  12:09:18.209384,4.975122E+0,8.236527E-3
4/16/2021  12:09:18.209386,4.972544E+0,8.062640E-3
4/16/2021  12:09:18.209388,4.978345E+0,7.811469E-3
4/16/2021  12:09:18.209389,4.974155E+0,7.470135E-3
4/16/2021  12:09:18.209391,4.976411E+0,7.128800E-3
4/16/2021  12:09:18.209393,4.976733E+0,6.793906E-3
4/16/2021  12:09:18.209394,4.976733E+0,6.478333E-3
4/16/2021  12:09:18.209396,4.976089E+0,6.285125E-3
4/16/2021  12:09:18.209397,4.979634E+0,6.156319E-3
4/16/2021  12:09:18.209399,4.974800E+0,6.072596E-3
4/16/2021  12:09:18.209401,4.978345E+0,6.169200E-3
4/16/2021  12:09:18.209402,4.979634E+0,6.330206E-3
4/16/2021  12:09:18.209404,4.977378E+0,6.478333E-3
4/16/2021  12:09:18.209406,4.979311E+0,6.793906E-3
4/16/2021  12:09:18.209407,4.976089E+0,7.038636E-3
4/16/2021  12:09:18.209409,4.975122E+0,7.264046E-3
4/16/2021  12:09:18.209411,4.977378E+0,7.508776E-3
4/16/2021  12:09:18.209412,4.977378E+0,7.708425E-3
4/16/2021  12:09:18.209414,4.973189E+0,7.772827E-3
4/16/2021  12:09:18.209416,4.978022E+0,7.817909E-3
4/16/2021  12:09:18.209417,4.976089E+0,7.708425E-3
4/16/2021  12:09:18.209419,4.975767E+0,7.598940E-3
4/16/2021  12:09:18.209421,4.978022E+0,7.418612E-3
4/16/2021  12:09:18.209422,4.975122E+0,7.206083E-3
4/16/2021  12:09:18.209424,4.978022E+0,7.006435E-3
4/16/2021  12:09:18.209426,4.978667E+0,6.832548E-3
4/16/2021  12:09:18.209427,4.975767E+0,6.703742E-3
4/16/2021  12:09:18.209429,4.978022E+0,6.581377E-3
4/16/2021  12:09:18.209430,4.979956E+0,6.555616E-3
4/16/2021  12:09:18.209432,4.974800E+0,6.459012E-3
4/16/2021  12:09:18.209434,4.979311E+0,6.555616E-3
4/16/2021  12:09:18.209435,4.977056E+0,6.626459E-3
4/16/2021  12:09:18.209437,4.977056E+0,6.774585E-3
4/16/2021  12:09:18.209439,4.977700E+0,6.884070E-3
4/16/2021  12:09:18.209440,4.979634E+0,7.070838E-3
4/16/2021  12:09:18.209442,4.975444E+0,7.193203E-3
4/16/2021  12:09:18.209444,4.977700E+0,7.296247E-3
4/16/2021  12:09:18.209445,4.978022E+0,7.399292E-3
4/16/2021  12:09:18.209447,4.973511E+0,7.476575E-3
4/16/2021  12:09:18.209449,4.982856E+0,7.528097E-3
4/16/2021  12:09:18.209450,4.976411E+0,7.405732E-3
4/16/2021  12:09:18.209452,4.976089E+0,7.360650E-3
4/16/2021  12:09:18.209454,4.978345E+0,7.276926E-3
4/16/2021  12:09:18.209455,4.974800E+0,7.128800E-3
4/16/2021  12:09:18.209457,4.976089E+0,7.006435E-3
4/16/2021  12:09:18.209459,4.978345E+0,6.935592E-3
4/16/2021  12:09:18.209460,4.975122E+0,6.838988E-3
4/16/2021  12:09:18.209462,4.978667E+0,6.787466E-3
4/16/2021  12:09:18.209463,4.979956E+0,6.793906E-3
4/16/2021  12:09:18.209465,4.974478E+0,6.729503E-3
4/16/2021  12:09:18.209467,4.977378E+0,6.761705E-3
4/16/2021  12:09:18.209468,4.978667E+0,6.826107E-3
4/16/2021  12:09:18.209470,4.974800E+0,6.929152E-3
4/16/2021  12:09:18.209472,4.978022E+0,6.993554E-3
4/16/2021  12:09:18.209473,4.977700E+0,7.090158E-3
4/16/2021  12:09:18.209475,4.974155E+0,7.161001E-3
