waveform,V_S,V_C
t0,5/26/2021  11:14:36.962308,5/26/2021  11:14:36.962309
delta t,2.000000E-6,2.000000E-6

time,V_S,V_C
5/26/2021  11:14:36.962308,4.742270E+0,1.379232E-2
5/26/2021  11:14:36.962310,-8.668721E-3,2.593613E-2
5/26/2021  11:14:36.962312,-8.668721E-3,3.762899E-2
5/26/2021  11:14:36.962314,-8.346628E-3,4.853268E-2
5/26/2021  11:14:36.962316,-7.702443E-3,5.845392E-2
5/26/2021  11:14:36.962318,-7.380350E-3,6.737660E-2
5/26/2021  11:14:36.962320,-6.736165E-3,7.517187E-2
5/26/2021  11:14:36.962322,-5.447794E-3,8.177531E-2
5/26/2021  11:14:36.962324,-3.837331E-3,8.718692E-2
5/26/2021  11:14:36.962326,-3.515238E-3,9.134226E-2
5/26/2021  11:14:36.962328,-2.871053E-3,9.419302E-2
5/26/2021  11:14:36.962330,-6.164043E-4,9.575530E-2
5/26/2021  11:14:36.962332,2.778109E-5,9.609352E-2
5/26/2021  11:14:36.962334,3.498738E-4,9.514327E-2
5/26/2021  11:14:36.962336,1.316152E-3,9.301728E-2
5/26/2021  11:14:36.962338,1.960337E-3,8.974777E-2
5/26/2021  11:14:36.962340,2.604523E-3,8.543136E-2
5/26/2021  11:14:36.962342,3.248708E-3,8.010029E-2
5/26/2021  11:14:36.962344,4.214986E-3,7.394782E-2
5/26/2021  11:14:36.962346,4.859171E-3,6.697395E-2
5/26/2021  11:14:36.962348,4.859171E-3,5.932364E-2
5/26/2021  11:14:36.962350,5.825449E-3,5.112573E-2
5/26/2021  11:14:36.962352,6.147542E-3,4.242855E-2
5/26/2021  11:14:36.962354,6.147542E-3,3.348979E-2
5/26/2021  11:14:36.962356,6.147542E-3,2.435776E-2
5/26/2021  11:14:36.962358,6.469635E-3,1.511300E-2
5/26/2021  11:14:36.962360,6.791727E-3,5.980994E-3
5/26/2021  11:14:36.962362,6.469635E-3,-3.006057E-3
5/26/2021  11:14:36.962364,6.147542E-3,-1.173541E-2
5/26/2021  11:14:36.962366,6.147542E-3,-2.006211E-2
5/26/2021  11:14:36.962368,5.825449E-3,-2.792174E-2
5/26/2021  11:14:36.962370,5.503357E-3,-3.523377E-2
5/26/2021  11:14:36.962372,5.825449E-3,-4.190156E-2
5/26/2021  11:14:36.962374,3.892893E-3,-4.784459E-2
5/26/2021  11:14:36.962376,3.892893E-3,-5.298233E-2
5/26/2021  11:14:36.962378,3.248708E-3,-5.733089E-2
5/26/2021  11:14:36.962380,2.282430E-3,-6.087416E-2
5/26/2021  11:14:36.962382,1.638244E-3,-6.346719E-2
5/26/2021  11:14:36.962384,1.638244E-3,-6.517440E-2
5/26/2021  11:14:36.962386,6.719664E-4,-6.607632E-2
5/26/2021  11:14:36.962388,2.778109E-5,-6.607632E-2
5/26/2021  11:14:36.962390,-6.164043E-4,-6.519051E-2
5/26/2021  11:14:36.962392,-9.384969E-4,-6.356382E-2
