waveform,Trig,V_R
t0,4/16/2021  11:35:40.451445,4/16/2021  11:35:40.451446
delta t,2.000000E-6,2.000000E-6

time,V_S,V_R
4/16/2021  11:35:40.451445,4.380885E+0,1.828002E-2
4/16/2021  11:35:40.451447,4.898425E+0,4.921561E-2
4/16/2021  11:35:40.451449,4.853310E+0,7.757323E-2
4/16/2021  11:35:40.451451,4.799815E+0,1.030306E-1
4/16/2021  11:35:40.451453,4.770490E+0,1.255879E-1
4/16/2021  11:35:40.451455,4.729241E+0,1.442781E-1
4/16/2021  11:35:40.451457,4.708939E+0,1.594237E-1
4/16/2021  11:35:40.451459,4.689926E+0,1.710245E-1
4/16/2021  11:35:40.451461,4.671236E+0,1.774694E-1
4/16/2021  11:35:40.451463,4.670591E+0,1.800474E-1
4/16/2021  11:35:40.451465,4.664146E+0,1.794029E-1
4/16/2021  11:35:40.451467,4.677358E+0,1.742470E-1
4/16/2021  11:35:40.451469,4.683159E+0,1.658686E-1
4/16/2021  11:35:40.451471,4.704428E+0,1.549122E-1
4/16/2021  11:35:40.451473,4.731175E+0,1.397667E-1
4/16/2021  11:35:40.451475,4.751155E+0,1.230099E-1
4/16/2021  11:35:40.451477,4.787892E+0,1.043196E-1
4/16/2021  11:35:40.451479,4.815284E+0,8.337366E-2
4/16/2021  11:35:40.451481,4.861688E+0,6.210544E-2
4/16/2021  11:35:40.451483,4.888113E+0,3.922599E-2
4/16/2021  11:35:40.451485,4.927106E+0,1.666879E-2
4/16/2021  11:35:40.451487,4.971255E+0,-5.888410E-3
4/16/2021  11:35:40.451489,4.999936E+0,-2.683438E-2
4/16/2021  11:35:40.451491,5.041507E+0,-4.681361E-2
4/16/2021  11:35:40.451493,5.065676E+0,-6.421488E-2
4/16/2021  11:35:40.451495,5.099191E+0,-7.968267E-2
4/16/2021  11:35:40.451497,5.117881E+0,-9.225025E-2
4/16/2021  11:35:40.451499,5.139473E+0,-1.028844E-1
