waveform,V_S,V_C
t0,5/26/2021  11:23:36.545334,5/26/2021  11:23:36.545335
delta t,2.000000E-6,2.000000E-6

time,V_S,V_C
5/26/2021  11:23:36.545334,4.737760E+0,1.749667E-2
5/26/2021  11:23:36.545336,-2.187452E-2,4.579468E-2
5/26/2021  11:23:36.545338,-2.026406E-2,7.251439E-2
5/26/2021  11:23:36.545340,-1.897569E-2,9.743032E-2
5/26/2021  11:23:36.545342,-1.736522E-2,1.204619E-1
5/26/2021  11:23:36.545344,-1.639894E-2,1.413354E-1
5/26/2021  11:23:36.545346,-1.446639E-2,1.597608E-1
5/26/2021  11:23:36.545348,-1.253383E-2,1.756576E-1
5/26/2021  11:23:36.545350,-1.027918E-2,1.888325E-1
5/26/2021  11:23:36.545352,-8.990814E-3,1.992855E-1
5/26/2021  11:23:36.545354,-6.414072E-3,2.069198E-1
5/26/2021  11:23:36.545356,-3.837331E-3,2.116712E-1
5/26/2021  11:23:36.545358,-1.904775E-3,2.136523E-1
5/26/2021  11:23:36.545360,2.778109E-5,2.128147E-1
5/26/2021  11:23:36.545362,1.638244E-3,2.093036E-1
5/26/2021  11:23:36.545364,4.537079E-3,2.032154E-1
5/26/2021  11:23:36.545366,5.825449E-3,1.947435E-1
5/26/2021  11:23:36.545368,8.080098E-3,1.839845E-1
5/26/2021  11:23:36.545370,8.402191E-3,1.711640E-1
5/26/2021  11:23:36.545372,1.065684E-2,1.564913E-1
5/26/2021  11:23:36.545374,1.226730E-2,1.401919E-1
5/26/2021  11:23:36.545376,1.291149E-2,1.225879E-1
5/26/2021  11:23:36.545378,1.323358E-2,1.038405E-1
5/26/2021  11:23:36.545380,1.452195E-2,8.428784E-2
5/26/2021  11:23:36.545382,1.484404E-2,6.409099E-2
5/26/2021  11:23:36.545384,1.548823E-2,4.374923E-2
5/26/2021  11:23:36.545386,1.484404E-2,2.324646E-2
5/26/2021  11:23:36.545388,1.484404E-2,3.033627E-3
